date,price,last_update
2026-04-01,2.309,2026-04-01T12:02:27+02:00
2026-04-02,2.329,2026-04-02T12:01:46+02:00
2026-04-03,2.349,2026-04-03T12:01:49+02:00
2026-04-04,2.369,2026-04-04T12:01:48+02:00
2026-04-05,2.369,2026-04-05T12:00:00+02:00
2026-04-06,2.369,2026-04-06T12:00:00+02:00
2026-04-07,2.389,2026-04-07T12:01:14+02:00
2026-04-08,2.409,2026-04-08T12:01:04+02:00
2026-04-09,2.409,2026-04-08T12:01:04+02:00
2026-04-10,2.409,2026-04-10T12:01:19+02:00
2026-04-11,2.379,2026-04-10T12:04:21+02:00
2026-04-13,2.379,2026-04-13T12:02:16+02:00
2026-04-14,2.379,2026-04-13T12:02:16+02:00
2026-04-15,2.359,2026-04-14T13:43:48+02:00
2026-04-16,2.339,2026-04-16T11:41:55+02:00
2026-04-17,2.339,2026-04-16T11:41:55+02:00
2026-04-19,2.259,2026-04-18T16:32:01+02:00
2026-04-22,2.199,2026-04-21T13:01:21+02:00
2026-04-24,2.139,2026-04-24T09:34:32+02:00
2026-04-25,2.139,2026-04-24T09:34:32+02:00
2026-05-04,1.969,2026-05-04T11:14:25+02:00
2026-05-05,1.969,2026-05-04T11:14:25+02:00
2026-05-20,1.949,2026-05-20T11:50:57+02:00
2026-05-21,1.949,2026-05-20T12:02:12+02:00
2026-05-28,1.899,2026-05-28T11:25:21+02:00
2026-05-29,1.899,2026-05-28T11:25:21+02:00
2026-06-08,1.899,2026-06-08T11:57:40+02:00
2026-06-09,1.859,2026-06-09T11:55:54+02:00
2026-06-10,1.859,2026-06-09T11:55:54+02:00
