date,price,last_update
2026-04-05,2.169,2026-04-05T12:00:00+02:00
2026-04-06,2.169,2026-04-06T12:00:00+02:00
2026-04-07,2.169,2026-04-07T12:00:00+02:00
2026-04-09,2.169,2026-04-08T12:04:13+02:00
2026-04-15,2.169,2026-04-15T08:15:59+02:00
2026-04-16,2.169,2026-04-15T08:15:59+02:00
2026-04-21,2.079,2026-04-21T11:20:36+02:00
2026-04-22,2.079,2026-04-21T11:20:36+02:00
2026-05-04,1.969,2026-05-04T10:18:11+02:00
2026-05-05,1.969,2026-05-04T10:18:11+02:00
2026-05-07,2.069,2026-05-06T12:02:44+02:00
2026-05-09,1.969,2026-05-09T09:53:00+02:00
2026-05-10,1.969,2026-05-09T09:53:00+02:00
2026-05-16,1.969,2026-05-15T12:02:45+02:00
2026-05-23,1.959,2026-05-22T12:12:23+02:00
2026-06-04,1.959,2026-06-03T13:40:32+02:00
2026-06-08,1.959,2026-06-08T11:57:40+02:00
2026-06-09,1.959,2026-06-09T04:11:34+02:00
2026-06-10,1.959,2026-06-09T04:11:34+02:00
2026-06-11,1.959,2026-06-11T06:59:17+02:00
2026-06-12,1.959,2026-06-11T06:59:17+02:00
2026-06-14,1.959,2026-06-14T04:11:45+02:00
