date,price,last_update
2026-04-02,2.099,2026-04-02T12:00:00+02:00
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-04,2.099,2026-04-04T12:00:00+02:00
2026-04-06,2.099,2026-04-06T12:00:00+02:00
2026-04-08,2.209,2026-04-08T12:00:00+02:00
2026-04-09,2.159,2026-04-09T11:49:43+02:00
2026-04-10,2.119,2026-04-10T10:09:17+02:00
2026-04-11,2.119,2026-04-10T10:09:17+02:00
2026-04-15,2.119,2026-04-15T10:07:16+02:00
2026-04-16,2.119,2026-04-16T09:13:56+02:00
2026-04-17,2.119,2026-04-17T08:03:36+02:00
2026-04-18,2.119,2026-04-17T08:03:36+02:00
2026-04-19,2.119,2026-04-19T10:35:35+02:00
2026-04-20,2.119,2026-04-19T10:35:35+02:00
2026-04-22,2.119,2026-04-22T11:44:17+02:00
2026-04-23,2.149,2026-04-23T12:04:39+02:00
2026-04-24,2.149,2026-04-23T12:05:40+02:00
2026-04-27,2.149,2026-04-27T10:45:04+02:00
2026-04-28,2.149,2026-04-27T10:45:04+02:00
2026-05-01,2.079,2026-05-01T09:48:46+02:00
2026-05-02,2.019,2026-05-02T10:45:50+02:00
2026-05-03,2.019,2026-05-02T10:45:50+02:00
2026-05-08,1.999,2026-05-08T06:16:49+02:00
2026-05-09,1.999,2026-05-08T06:16:49+02:00
2026-05-13,1.999,2026-05-13T11:52:18+02:00
2026-05-14,1.999,2026-05-13T11:52:18+02:00
2026-05-27,1.949,2026-05-27T10:31:22+02:00
2026-05-28,1.899,2026-05-28T10:44:45+02:00
2026-05-29,1.899,2026-05-28T10:44:45+02:00
2026-06-01,1.899,2026-06-01T11:44:23+02:00
2026-06-02,1.899,2026-06-01T11:44:23+02:00
2026-06-08,1.899,2026-06-08T11:57:40+02:00
2026-06-09,1.899,2026-06-09T04:11:34+02:00
2026-06-10,1.899,2026-06-09T04:11:34+02:00
2026-06-11,1.899,2026-06-11T06:59:17+02:00
2026-06-12,1.899,2026-06-11T06:59:17+02:00
2026-06-14,1.899,2026-06-14T04:11:45+02:00
2026-06-15,1.879,2026-06-15T10:54:28+02:00
2026-06-16,1.879,2026-06-16T10:24:07+02:00
2026-06-17,1.829,2026-06-17T10:23:17+02:00
2026-06-18,1.829,2026-06-17T10:23:17+02:00
2026-06-24,1.829,2026-06-24T08:34:26+02:00
2026-06-25,1.829,2026-06-24T08:34:26+02:00
2026-06-27,1.909,2026-06-26T12:06:56+02:00
2026-06-29,1.899,2026-06-29T09:55:34+02:00
2026-06-30,1.999,2026-06-30T12:05:39+02:00
2026-07-01,2.089,2026-07-01T12:05:10+02:00
2026-07-02,2.089,2026-07-02T05:42:58+02:00
2026-07-03,2.089,2026-07-03T09:41:53+02:00
2026-07-04,2.089,2026-07-04T07:18:56+02:00
2026-07-05,2.089,2026-07-04T12:04:59+02:00
2026-07-06,2.089,2026-07-06T09:39:07+02:00
2026-07-07,2.089,2026-07-07T09:25:09+02:00
2026-07-08,2.089,2026-07-07T09:25:09+02:00
2026-07-11,2.099,2026-07-11T12:04:18+02:00
2026-07-12,2.099,2026-07-12T05:44:36+02:00
2026-07-13,2.099,2026-07-13T06:12:36+02:00
2026-07-14,2.099,2026-07-14T06:15:18+02:00
2026-07-15,2.099,2026-07-14T12:05:20+02:00
2026-07-16,2.129,2026-07-16T12:05:02+02:00
2026-07-17,2.129,2026-07-16T12:05:02+02:00
2026-07-19,2.155,2026-07-18T12:05:52+02:00
2026-07-23,2.145,2026-07-22T12:04:15+02:00
2026-07-26,2.145,2026-07-26T07:33:20+02:00
2026-07-27,2.145,2026-07-26T07:33:20+02:00
2026-08-03,2.125,2026-08-03T09:31:11+02:00
2026-08-04,2.125,2026-08-03T09:31:11+02:00
2026-08-05,2.125,2026-08-05T11:24:16+02:00
2026-08-06,2.075,2026-08-06T08:46:20+02:00
2026-08-07,2.035,2026-08-07T11:57:26+02:00
2026-08-08,2.035,2026-08-07T11:57:26+02:00
2026-08-11,2.075,2026-08-10T12:07:27+02:00
2026-08-13,2.165,2026-08-12T12:07:52+02:00
