date,price,last_update
2026-04-03,2.300,2026-04-03T12:00:00+02:00
2026-04-04,2.340,2026-04-04T12:27:24+02:00
2026-04-05,2.360,2026-04-05T12:00:00+02:00
2026-04-06,2.360,2026-04-06T12:00:00+02:00
2026-04-07,2.360,2026-04-07T12:00:00+02:00
2026-04-09,2.390,2026-04-08T12:12:25+02:00
2026-04-11,2.330,2026-04-10T20:31:57+02:00
2026-04-14,2.290,2026-04-13T12:43:26+02:00
2026-04-17,2.200,2026-04-17T11:32:25+02:00
2026-04-18,2.190,2026-04-17T18:17:57+02:00
2026-04-21,2.150,2026-04-21T07:34:40+02:00
2026-04-22,2.150,2026-04-21T07:34:40+02:00
2026-04-28,2.100,2026-04-27T18:24:48+02:00
2026-05-02,2.040,2026-05-02T07:58:02+02:00
2026-05-03,2.040,2026-05-02T07:58:02+02:00
2026-05-09,2.000,2026-05-08T15:52:18+02:00
2026-05-11,1.980,2026-05-11T11:14:56+02:00
2026-05-12,1.970,2026-05-12T07:31:43+02:00
2026-05-13,1.970,2026-05-12T07:31:43+02:00
2026-05-14,1.960,2026-05-14T09:07:30+02:00
