date,price,last_update
2026-04-01,2.079,2026-04-01T12:00:00+02:00
2026-04-02,2.149,2026-04-02T12:04:53+02:00
2026-04-03,2.149,2026-04-03T12:00:00+02:00
2026-04-04,2.159,2026-04-04T12:01:48+02:00
2026-04-05,2.159,2026-04-05T12:00:00+02:00
2026-04-06,2.179,2026-04-06T12:00:55+02:00
2026-04-07,2.199,2026-04-07T12:02:15+02:00
2026-04-08,2.179,2026-04-07T17:28:49+02:00
2026-04-09,2.159,2026-04-09T08:45:22+02:00
2026-04-10,2.149,2026-04-10T07:27:05+02:00
2026-04-11,2.139,2026-04-11T11:27:46+02:00
2026-04-12,2.139,2026-04-11T11:27:46+02:00
2026-04-14,2.139,2026-04-14T08:47:40+02:00
2026-04-15,2.109,2026-04-15T11:39:00+02:00
2026-04-16,2.029,2026-04-16T07:48:18+02:00
2026-04-17,2.029,2026-04-17T06:56:22+02:00
2026-04-18,2.039,2026-04-17T17:11:51+02:00
2026-04-20,2.069,2026-04-19T12:11:58+02:00
2026-04-21,2.059,2026-04-21T12:01:21+02:00
2026-04-22,2.069,2026-04-22T12:03:31+02:00
2026-04-23,2.089,2026-04-23T12:00:35+02:00
2026-04-24,2.109,2026-04-24T12:07:48+02:00
2026-04-25,2.089,2026-04-25T12:10:25+02:00
2026-04-26,2.089,2026-04-26T12:00:53+02:00
2026-04-27,2.099,2026-04-27T12:02:46+02:00
2026-04-28,2.079,2026-04-28T12:01:58+02:00
2026-04-29,2.029,2026-04-29T08:03:34+02:00
2026-04-30,2.039,2026-04-30T09:22:59+02:00
2026-05-01,1.889,2026-05-01T06:58:59+02:00
2026-05-02,1.929,2026-05-02T12:01:14+02:00
2026-05-03,1.959,2026-05-03T12:04:33+02:00
2026-05-04,1.909,2026-05-04T06:29:52+02:00
2026-05-05,1.949,2026-05-05T11:33:10+02:00
2026-05-06,2.039,2026-05-06T12:13:54+02:00
2026-05-07,1.929,2026-05-07T09:20:47+02:00
2026-05-08,1.909,2026-05-08T07:33:55+02:00
2026-05-09,1.839,2026-05-08T17:40:05+02:00
2026-05-11,1.889,2026-05-10T17:01:53+02:00
2026-05-12,1.919,2026-05-11T18:23:22+02:00
2026-05-13,1.909,2026-05-13T10:35:55+02:00
2026-05-14,1.929,2026-05-13T18:15:54+02:00
2026-05-15,1.949,2026-05-15T12:11:50+02:00
2026-05-16,1.989,2026-05-16T12:11:48+02:00
2026-05-17,1.939,2026-05-17T08:03:57+02:00
2026-05-18,1.959,2026-05-18T12:08:26+02:00
2026-05-19,1.939,2026-05-19T08:07:21+02:00
2026-05-20,1.929,2026-05-20T06:37:10+02:00
2026-05-21,1.939,2026-05-21T12:01:20+02:00
2026-05-22,2.069,2026-05-22T12:09:21+02:00
2026-05-23,1.909,2026-05-23T06:49:27+02:00
2026-05-24,1.909,2026-05-23T19:51:01+02:00
2026-05-25,1.909,2026-05-25T08:08:26+02:00
2026-05-26,1.909,2026-05-25T08:08:26+02:00
2026-05-27,1.889,2026-05-27T12:01:40+02:00
2026-05-28,1.879,2026-05-28T12:13:12+02:00
2026-05-29,1.869,2026-05-29T11:54:53+02:00
2026-05-30,1.859,2026-05-30T12:07:25+02:00
2026-05-31,1.859,2026-05-31T12:02:10+02:00
2026-06-01,1.859,2026-06-01T12:03:38+02:00
2026-06-02,1.859,2026-06-02T12:07:48+02:00
2026-06-03,1.889,2026-06-03T12:04:52+02:00
2026-06-04,1.919,2026-06-04T12:03:20+02:00
2026-06-05,1.879,2026-06-05T12:14:32+02:00
2026-06-06,1.849,2026-06-06T12:05:52+02:00
2026-06-07,1.889,2026-06-07T12:06:57+02:00
2026-06-08,1.879,2026-06-08T12:11:53+02:00
2026-06-09,1.879,2026-06-09T12:05:03+02:00
2026-06-10,1.849,2026-06-10T12:00:14+02:00
2026-06-11,1.859,2026-06-11T12:10:17+02:00
2026-06-12,1.849,2026-06-12T12:02:22+02:00
2026-06-13,1.829,2026-06-13T12:03:45+02:00
