date,price,last_update
2026-04-02,2.109,2026-04-02T12:00:00+02:00
2026-04-03,2.109,2026-04-03T12:00:00+02:00
2026-04-04,2.109,2026-04-04T12:00:00+02:00
2026-04-05,2.109,2026-04-05T12:00:00+02:00
2026-04-06,2.209,2026-04-06T14:46:53+02:00
2026-04-07,2.209,2026-04-07T12:00:00+02:00
2026-04-08,2.149,2026-04-08T12:00:00+02:00
2026-04-09,2.149,2026-04-08T11:55:51+02:00
2026-04-11,2.109,2026-04-10T17:20:49+02:00
2026-04-20,2.069,2026-04-20T10:02:46+02:00
2026-04-21,2.069,2026-04-20T10:02:46+02:00
2026-05-02,1.959,2026-05-02T09:05:43+02:00
