date,price,last_update
2026-04-01,2.299,2026-04-01T12:00:22+02:00
2026-04-02,2.349,2026-04-02T12:01:46+02:00
2026-04-03,2.349,2026-04-03T12:00:00+02:00
2026-04-04,2.349,2026-04-04T12:00:00+02:00
2026-04-05,2.349,2026-04-05T12:00:00+02:00
2026-04-06,2.349,2026-04-06T12:00:00+02:00
2026-04-08,2.389,2026-04-07T12:01:14+02:00
2026-04-10,2.359,2026-04-09T15:52:03+02:00
2026-04-11,2.319,2026-04-10T15:29:57+02:00
2026-04-14,2.289,2026-04-13T16:27:38+02:00
2026-04-15,2.259,2026-04-14T16:37:50+02:00
2026-04-16,2.239,2026-04-15T16:08:33+02:00
2026-04-17,2.199,2026-04-17T09:46:32+02:00
2026-04-18,2.169,2026-04-17T14:45:20+02:00
2026-04-22,2.119,2026-04-21T16:37:53+02:00
2026-04-29,2.099,2026-04-28T15:58:39+02:00
2026-05-01,2.099,2026-05-01T12:03:18+02:00
2026-05-02,2.099,2026-05-02T12:01:14+02:00
2026-05-03,1.969,2026-05-02T22:12:48+02:00
2026-05-05,2.049,2026-05-04T12:02:54+02:00
2026-05-07,2.009,2026-05-06T17:04:09+02:00
2026-05-08,1.989,2026-05-07T14:50:49+02:00
2026-05-10,1.949,2026-05-09T15:22:44+02:00
