date,price,last_update
2026-04-15,2.139,2026-04-15T12:04:33+02:00
2026-04-16,2.129,2026-04-16T12:03:25+02:00
2026-04-17,2.139,2026-04-17T12:05:07+02:00
2026-04-18,2.129,2026-04-18T12:04:51+02:00
2026-04-19,2.129,2026-04-19T12:02:51+02:00
2026-04-20,2.109,2026-04-20T12:05:53+02:00
2026-04-21,2.109,2026-04-21T12:05:24+02:00
2026-04-22,2.119,2026-04-22T12:05:33+02:00
2026-04-23,2.129,2026-04-23T12:03:38+02:00
2026-04-24,2.149,2026-04-24T12:03:44+02:00
2026-04-25,2.169,2026-04-25T12:05:20+02:00
2026-04-26,2.169,2026-04-26T12:04:56+02:00
2026-04-27,2.169,2026-04-27T12:04:48+02:00
2026-04-28,2.009,2026-04-27T19:59:03+02:00
2026-04-29,2.169,2026-04-29T12:04:31+02:00
2026-04-30,2.219,2026-04-30T12:05:35+02:00
2026-05-01,2.159,2026-05-01T12:05:22+02:00
2026-05-02,2.099,2026-05-02T12:04:23+02:00
2026-05-03,2.079,2026-05-03T12:05:35+02:00
2026-05-04,2.069,2026-05-04T12:04:56+02:00
2026-05-05,2.069,2026-05-05T12:05:50+02:00
2026-05-06,2.069,2026-05-06T12:04:49+02:00
2026-05-07,2.039,2026-05-07T12:03:02+02:00
2026-05-08,2.019,2026-05-08T12:05:31+02:00
