date,price,last_update
2026-04-01,2.559,2026-04-01T12:10:38+02:00
2026-04-02,2.599,2026-04-02T10:28:45+02:00
2026-04-03,2.619,2026-04-03T12:06:55+02:00
2026-04-04,2.619,2026-04-04T12:09:58+02:00
2026-04-05,2.619,2026-04-05T12:10:51+02:00
2026-04-06,2.619,2026-04-06T12:06:59+02:00
2026-04-07,2.619,2026-04-07T12:07:20+02:00
2026-04-08,2.619,2026-04-08T12:00:00+02:00
2026-04-09,2.609,2026-04-09T09:31:20+02:00
2026-04-10,2.609,2026-04-09T09:31:20+02:00
2026-04-11,2.559,2026-04-10T16:58:28+02:00
2026-04-12,2.559,2026-04-11T12:07:23+02:00
2026-04-13,2.599,2026-04-13T12:07:23+02:00
2026-04-14,2.559,2026-04-13T13:58:55+02:00
2026-04-15,2.639,2026-04-15T12:07:37+02:00
2026-04-16,2.639,2026-04-16T12:07:29+02:00
2026-04-17,2.529,2026-04-16T12:52:29+02:00
2026-04-18,2.629,2026-04-18T12:07:53+02:00
2026-04-19,2.629,2026-04-19T12:07:56+02:00
