date,price,last_update
2026-04-01,2.579,2026-04-01T12:07:36+02:00
2026-04-02,2.599,2026-04-02T12:06:54+02:00
2026-04-03,2.549,2026-04-03T12:06:55+02:00
2026-04-04,2.589,2026-04-04T12:06:56+02:00
2026-04-05,2.589,2026-04-05T12:07:49+02:00
2026-04-06,2.589,2026-04-06T12:06:59+02:00
2026-04-07,2.589,2026-04-07T12:07:20+02:00
2026-04-08,2.569,2026-04-07T15:06:55+02:00
2026-04-09,2.569,2026-04-08T14:18:28+02:00
2026-04-10,2.529,2026-04-09T15:34:47+02:00
2026-04-11,2.479,2026-04-10T14:16:43+02:00
2026-04-13,2.589,2026-04-13T12:07:23+02:00
2026-04-14,2.559,2026-04-14T12:07:41+02:00
2026-04-15,2.619,2026-04-15T12:07:37+02:00
2026-04-16,2.619,2026-04-16T12:07:29+02:00
2026-04-17,2.619,2026-04-17T12:07:10+02:00
2026-04-18,2.609,2026-04-18T12:09:55+02:00
2026-04-19,2.609,2026-04-19T12:07:56+02:00
2026-04-20,2.599,2026-04-20T12:06:54+02:00
2026-04-21,2.589,2026-04-21T12:13:31+02:00
2026-04-22,2.609,2026-04-22T12:07:35+02:00
2026-04-23,2.619,2026-04-23T12:13:45+02:00
2026-04-24,2.629,2026-04-24T12:08:49+02:00
2026-04-25,2.619,2026-04-25T12:04:20+02:00
2026-04-26,2.619,2026-04-26T12:06:58+02:00
2026-04-27,2.649,2026-04-27T12:07:50+02:00
2026-04-28,2.589,2026-04-27T14:35:06+02:00
2026-04-30,2.639,2026-04-30T12:07:37+02:00
2026-05-01,2.469,2026-05-01T12:08:37+02:00
2026-05-02,2.469,2026-05-01T12:08:37+02:00
2026-05-03,2.469,2026-05-02T14:07:22+02:00
2026-05-04,2.519,2026-05-04T12:04:56+02:00
2026-05-05,2.519,2026-05-05T12:07:52+02:00
2026-05-06,2.509,2026-05-05T15:07:55+02:00
2026-05-07,2.499,2026-05-06T14:07:08+02:00
2026-05-08,2.479,2026-05-08T12:07:33+02:00
2026-05-09,2.479,2026-05-09T12:07:59+02:00
2026-05-10,2.479,2026-05-10T12:07:04+02:00
2026-05-11,2.479,2026-05-11T12:07:47+02:00
2026-05-12,2.549,2026-05-12T12:07:27+02:00
2026-05-13,2.479,2026-05-13T12:07:37+02:00
2026-05-14,2.499,2026-05-14T12:07:09+02:00
2026-05-15,2.519,2026-05-15T12:04:46+02:00
2026-05-16,2.509,2026-05-16T12:10:46+02:00
2026-05-17,2.509,2026-05-17T12:08:17+02:00
2026-05-18,2.519,2026-05-18T12:10:27+02:00
2026-05-19,2.519,2026-05-19T12:07:54+02:00
2026-05-20,2.499,2026-05-19T17:34:59+02:00
2026-05-21,2.509,2026-05-21T12:09:28+02:00
2026-05-22,2.499,2026-05-22T09:31:09+02:00
2026-05-23,2.469,2026-05-22T15:06:58+02:00
2026-05-24,2.469,2026-05-24T12:13:49+02:00
2026-05-25,2.469,2026-05-25T12:07:35+02:00
2026-05-26,2.469,2026-05-26T12:07:31+02:00
2026-05-27,2.449,2026-05-26T14:34:52+02:00
2026-05-28,2.419,2026-05-27T15:10:52+02:00
2026-05-29,2.419,2026-05-29T12:07:08+02:00
2026-05-30,2.409,2026-05-30T12:04:23+02:00
2026-05-31,2.409,2026-05-31T12:07:16+02:00
2026-06-01,2.419,2026-06-01T12:12:53+02:00
2026-06-02,2.419,2026-06-02T12:07:48+02:00
2026-06-03,2.459,2026-06-03T12:09:56+02:00
2026-06-04,2.449,2026-06-04T12:04:20+02:00
2026-06-05,2.419,2026-06-05T12:04:23+02:00
2026-06-06,2.419,2026-06-06T12:10:55+02:00
2026-06-07,2.419,2026-06-07T12:10:00+02:00
2026-06-08,2.449,2026-06-08T12:04:47+02:00
2026-06-09,2.429,2026-06-09T12:07:07+02:00
2026-06-10,2.409,2026-06-10T12:05:19+02:00
2026-06-11,2.419,2026-06-11T12:04:10+02:00
2026-06-12,2.389,2026-06-12T12:13:31+02:00
2026-06-13,2.389,2026-06-12T14:07:26+02:00
2026-06-14,2.349,2026-06-14T04:11:45+02:00
2026-06-15,2.369,2026-06-15T12:07:54+02:00
2026-06-16,2.359,2026-06-15T14:07:54+02:00
2026-06-17,2.359,2026-06-17T12:08:03+02:00
2026-06-18,2.359,2026-06-18T12:04:30+02:00
2026-06-19,2.399,2026-06-19T12:05:05+02:00
2026-06-20,2.389,2026-06-20T12:03:54+02:00
2026-06-21,2.389,2026-06-21T12:07:13+02:00
2026-06-22,2.399,2026-06-22T12:05:18+02:00
2026-06-23,2.389,2026-06-23T12:07:56+02:00
2026-06-24,2.389,2026-06-24T12:03:37+02:00
2026-06-25,2.389,2026-06-25T12:04:20+02:00
2026-06-26,2.419,2026-06-26T12:10:59+02:00
2026-06-27,2.419,2026-06-27T12:03:31+02:00
2026-06-28,2.419,2026-06-28T12:09:46+02:00
2026-06-29,2.419,2026-06-29T12:03:51+02:00
2026-06-30,2.539,2026-06-30T12:04:37+02:00
2026-07-01,2.609,2026-07-01T12:08:14+02:00
2026-07-02,2.609,2026-07-02T12:04:29+02:00
2026-07-03,2.599,2026-07-03T12:03:44+02:00
2026-07-04,2.589,2026-07-04T12:03:58+02:00
2026-07-05,2.589,2026-07-05T12:08:33+02:00
2026-07-06,2.609,2026-07-06T12:05:00+02:00
2026-07-07,2.609,2026-07-07T12:07:50+02:00
2026-07-08,2.609,2026-07-08T12:07:05+02:00
2026-07-09,2.629,2026-07-09T12:05:37+02:00
