date,price,last_update
2026-04-01,2.039,2026-04-01T12:10:38+02:00
2026-04-02,2.169,2026-04-02T12:06:54+02:00
2026-04-03,2.109,2026-04-03T12:11:02+02:00
2026-04-04,2.109,2026-04-04T12:09:58+02:00
2026-04-05,2.149,2026-04-05T12:10:51+02:00
2026-04-06,2.129,2026-04-06T12:10:03+02:00
2026-04-07,2.139,2026-04-07T12:07:20+02:00
2026-04-08,2.119,2026-04-08T12:00:00+02:00
2026-04-09,2.069,2026-04-09T12:07:09+02:00
2026-04-10,2.089,2026-04-10T12:07:24+02:00
2026-04-11,2.089,2026-04-11T12:07:23+02:00
2026-04-12,2.089,2026-04-12T12:13:30+02:00
2026-04-13,2.099,2026-04-13T12:07:23+02:00
2026-04-14,2.079,2026-04-14T12:07:41+02:00
2026-04-15,2.059,2026-04-15T12:07:37+02:00
2026-04-16,2.049,2026-04-16T12:07:29+02:00
2026-04-17,2.059,2026-04-17T12:07:10+02:00
2026-04-18,2.059,2026-04-17T12:07:10+02:00
2026-04-19,2.039,2026-04-19T08:14:19+02:00
2026-04-20,2.059,2026-04-20T12:06:54+02:00
