date,price,last_update
2026-04-01,2.299,2026-04-01T12:00:00+02:00
2026-04-02,2.299,2026-04-02T12:00:00+02:00
2026-04-03,2.299,2026-04-03T12:00:00+02:00
2026-04-06,2.299,2026-04-06T12:00:00+02:00
2026-06-08,2.299,2026-06-08T11:57:40+02:00
2026-06-09,2.299,2026-06-09T04:11:34+02:00
2026-06-10,2.299,2026-06-09T04:11:34+02:00
2026-06-11,2.299,2026-06-11T06:59:17+02:00
2026-06-12,2.299,2026-06-11T06:59:17+02:00
2026-06-14,2.299,2026-06-14T04:11:45+02:00
2026-06-15,2.299,2026-06-15T07:50:06+02:00
2026-06-16,2.299,2026-06-15T06:01:23+02:00
2026-06-17,2.299,2026-06-16T13:37:13+02:00
2026-06-29,2.299,2026-06-29T07:45:19+02:00
2026-06-30,2.059,2026-06-29T17:57:51+02:00
2026-07-03,2.109,2026-07-03T12:02:43+02:00
2026-07-04,2.099,2026-07-04T12:01:57+02:00
2026-07-05,2.099,2026-07-05T12:03:28+02:00
2026-07-06,2.099,2026-07-06T12:02:59+02:00
2026-07-07,2.109,2026-07-07T12:02:45+02:00
2026-07-08,2.109,2026-07-08T12:01:59+02:00
2026-07-09,2.159,2026-07-09T12:02:34+02:00
2026-07-10,2.159,2026-07-10T12:02:25+02:00
2026-07-11,2.169,2026-07-11T12:02:17+02:00
2026-07-12,2.159,2026-07-12T12:02:19+02:00
2026-07-13,2.159,2026-07-13T12:05:48+02:00
2026-07-14,2.189,2026-07-14T12:03:18+02:00
2026-07-15,2.249,2026-07-15T12:02:36+02:00
2026-07-16,2.289,2026-07-16T12:03:00+02:00
2026-07-17,2.309,2026-07-17T12:02:49+02:00
