date,price,last_update
2026-04-01,2.139,2026-04-01T12:03:32+02:00
2026-04-02,2.189,2026-04-02T12:02:48+02:00
2026-04-03,2.209,2026-04-03T12:02:50+02:00
2026-04-04,2.259,2026-04-04T12:02:49+02:00
2026-04-05,2.259,2026-04-05T12:03:45+02:00
2026-04-06,2.239,2026-04-06T12:01:56+02:00
2026-04-07,2.239,2026-04-07T12:02:15+02:00
2026-04-08,2.239,2026-04-08T12:03:10+02:00
2026-04-09,2.139,2026-04-09T10:50:42+02:00
2026-04-10,2.179,2026-04-10T12:02:20+02:00
2026-04-11,2.179,2026-04-11T12:02:18+02:00
2026-04-12,2.179,2026-04-12T12:02:20+02:00
2026-04-13,2.169,2026-04-13T12:02:16+02:00
2026-04-14,2.169,2026-04-14T12:03:35+02:00
2026-04-15,2.149,2026-04-15T12:02:30+02:00
2026-04-16,2.159,2026-04-16T12:03:25+02:00
2026-04-17,2.169,2026-04-17T12:02:00+02:00
2026-04-18,2.149,2026-04-18T12:02:50+02:00
2026-04-19,2.119,2026-04-19T12:02:51+02:00
2026-04-20,2.139,2026-04-20T12:02:50+02:00
2026-04-21,2.129,2026-04-21T11:58:18+02:00
2026-04-22,2.129,2026-04-22T11:56:26+02:00
2026-04-23,2.159,2026-04-23T11:58:34+02:00
2026-04-24,2.179,2026-04-24T11:56:39+02:00
2026-04-25,2.189,2026-04-25T11:57:12+02:00
2026-04-26,2.189,2026-04-26T11:57:52+02:00
2026-04-27,2.199,2026-04-27T11:57:39+02:00
2026-04-28,2.189,2026-04-28T11:56:53+02:00
2026-04-29,2.199,2026-04-29T11:57:24+02:00
2026-04-30,2.219,2026-04-30T11:57:28+02:00
