date,price,last_update
2026-04-01,2.229,2026-04-01T11:58:20+02:00
2026-04-02,2.229,2026-04-02T11:57:34+02:00
2026-04-03,2.259,2026-04-03T11:57:46+02:00
2026-04-04,2.269,2026-04-04T11:57:43+02:00
2026-04-05,2.299,2026-04-05T11:58:41+02:00
2026-04-06,2.269,2026-04-06T12:00:00+02:00
2026-04-07,2.269,2026-04-07T11:58:10+02:00
2026-04-08,2.269,2026-04-08T11:57:57+02:00
2026-04-09,2.189,2026-04-09T11:56:51+02:00
2026-04-10,2.209,2026-04-10T11:58:16+02:00
2026-04-11,2.209,2026-04-11T11:57:13+02:00
2026-04-12,2.209,2026-04-12T11:58:16+02:00
2026-04-13,2.229,2026-04-13T11:58:12+02:00
2026-04-14,2.229,2026-04-14T11:58:28+02:00
2026-04-15,2.209,2026-04-15T11:57:25+02:00
2026-04-16,2.219,2026-04-16T11:58:19+02:00
2026-04-17,2.229,2026-04-17T11:56:54+02:00
2026-04-18,2.209,2026-04-18T11:56:44+02:00
2026-04-19,2.179,2026-04-19T11:57:47+02:00
2026-04-20,2.199,2026-04-20T11:58:46+02:00
2026-04-21,2.189,2026-04-21T11:58:18+02:00
2026-04-22,2.189,2026-04-22T11:57:27+02:00
2026-04-23,2.219,2026-04-23T11:58:34+02:00
2026-04-24,2.239,2026-04-24T11:56:39+02:00
2026-04-25,2.249,2026-04-25T11:57:12+02:00
2026-04-26,2.249,2026-04-26T11:57:52+02:00
2026-04-27,2.259,2026-04-27T11:57:39+02:00
2026-04-28,2.249,2026-04-28T11:56:53+02:00
2026-04-29,2.259,2026-04-29T11:57:24+02:00
