date,price,last_update
2026-04-01,2.249,2026-04-01T12:00:00+02:00
2026-04-02,2.249,2026-04-02T12:06:54+02:00
2026-04-03,2.229,2026-04-03T12:00:00+02:00
2026-04-04,2.229,2026-04-04T12:00:00+02:00
2026-04-05,2.299,2026-04-05T12:05:46+02:00
2026-04-06,2.259,2026-04-06T12:00:00+02:00
2026-04-07,2.279,2026-04-07T12:07:20+02:00
2026-04-08,2.279,2026-04-07T12:07:20+02:00
2026-04-09,2.229,2026-04-08T16:41:27+02:00
2026-04-10,2.199,2026-04-09T12:16:20+02:00
2026-04-11,2.189,2026-04-11T10:26:49+02:00
2026-04-12,2.189,2026-04-11T10:26:49+02:00
2026-04-15,2.189,2026-04-15T07:41:17+02:00
2026-04-16,2.169,2026-04-16T07:05:26+02:00
2026-04-17,2.169,2026-04-16T07:05:26+02:00
2026-04-21,2.149,2026-04-21T07:16:22+02:00
2026-04-22,2.189,2026-04-22T12:07:35+02:00
2026-04-23,2.149,2026-04-23T10:46:15+02:00
2026-04-24,2.179,2026-04-24T12:05:45+02:00
2026-04-25,2.199,2026-04-25T12:05:20+02:00
2026-04-26,2.199,2026-04-25T12:05:20+02:00
2026-04-28,2.279,2026-04-28T12:07:04+02:00
2026-04-29,2.299,2026-04-29T12:05:33+02:00
2026-04-30,2.259,2026-04-30T07:55:39+02:00
2026-05-01,2.229,2026-05-01T12:07:29+02:00
2026-05-02,2.229,2026-05-02T12:02:20+02:00
2026-05-03,2.169,2026-05-03T09:21:33+02:00
2026-05-04,2.169,2026-05-03T09:21:33+02:00
2026-05-05,2.129,2026-05-05T07:21:22+02:00
2026-05-06,2.079,2026-05-06T11:27:03+02:00
2026-05-07,2.049,2026-05-07T11:17:08+02:00
2026-05-08,2.049,2026-05-07T11:17:08+02:00
2026-05-12,2.079,2026-05-11T17:26:30+02:00
2026-05-14,2.059,2026-05-14T10:21:42+02:00
2026-05-15,2.059,2026-05-14T10:21:42+02:00
2026-05-19,2.059,2026-05-19T07:26:45+02:00
2026-05-20,2.149,2026-05-20T12:07:16+02:00
2026-05-21,2.129,2026-05-21T12:07:26+02:00
2026-05-22,2.059,2026-05-22T07:26:27+02:00
2026-05-23,2.039,2026-05-22T12:01:16+02:00
2026-05-28,2.039,2026-05-28T07:06:21+02:00
2026-05-29,2.039,2026-05-28T07:06:21+02:00
2026-06-04,2.059,2026-06-03T12:05:52+02:00
2026-06-05,2.129,2026-06-05T12:07:26+02:00
2026-06-06,2.029,2026-06-06T08:56:53+02:00
2026-06-07,2.029,2026-06-06T08:56:53+02:00
2026-06-08,2.029,2026-06-08T11:57:40+02:00
2026-06-09,1.989,2026-06-09T04:11:34+02:00
2026-06-10,1.989,2026-06-09T04:11:34+02:00
2026-06-11,1.969,2026-06-11T06:59:17+02:00
2026-06-12,1.969,2026-06-11T06:59:17+02:00
2026-06-13,1.969,2026-06-13T09:02:08+02:00
2026-06-14,1.969,2026-06-14T04:11:45+02:00
2026-06-15,1.949,2026-06-15T10:51:26+02:00
2026-06-16,1.949,2026-06-15T10:51:26+02:00
2026-06-17,1.929,2026-06-16T13:37:13+02:00
2026-06-19,1.929,2026-06-19T11:51:51+02:00
2026-06-20,1.929,2026-06-20T08:21:39+02:00
2026-06-21,1.929,2026-06-20T08:21:39+02:00
2026-06-29,1.929,2026-06-29T07:45:19+02:00
2026-06-30,1.999,2026-06-30T12:07:43+02:00
2026-07-01,1.999,2026-06-30T12:07:43+02:00
2026-07-03,2.049,2026-07-03T11:55:37+02:00
2026-07-04,2.049,2026-07-03T11:55:37+02:00
2026-07-08,2.129,2026-07-07T12:07:50+02:00
2026-07-11,2.129,2026-07-10T12:07:31+02:00
2026-07-14,2.149,2026-07-13T12:05:48+02:00
2026-07-16,2.189,2026-07-15T12:07:43+02:00
2026-07-18,2.189,2026-07-18T08:21:22+02:00
2026-07-19,2.189,2026-07-18T08:21:22+02:00
2026-07-23,2.209,2026-07-23T08:10:41+02:00
2026-07-24,2.209,2026-07-23T08:10:41+02:00
2026-07-26,2.209,2026-07-26T07:33:20+02:00
