date,price,last_update
2026-04-01,2.569,2026-04-01T12:02:27+02:00
2026-04-02,2.349,2026-04-02T11:58:35+02:00
2026-04-03,2.409,2026-04-03T12:04:54+02:00
2026-04-04,2.569,2026-04-04T12:04:54+02:00
2026-04-05,2.569,2026-04-05T12:02:44+02:00
2026-04-06,2.569,2026-04-06T12:03:57+02:00
2026-04-07,2.569,2026-04-07T12:02:15+02:00
2026-04-08,2.579,2026-04-08T12:04:13+02:00
2026-04-09,2.549,2026-04-09T12:04:00+02:00
2026-04-10,2.559,2026-04-10T12:04:21+02:00
2026-04-11,2.519,2026-04-11T12:03:19+02:00
2026-04-12,2.519,2026-04-12T12:03:22+02:00
2026-04-13,2.519,2026-04-13T12:02:16+02:00
2026-04-14,2.519,2026-04-14T12:04:37+02:00
2026-04-15,2.359,2026-04-15T12:03:32+02:00
2026-04-16,2.359,2026-04-16T12:05:26+02:00
2026-04-17,2.309,2026-04-17T12:07:10+02:00
2026-04-18,2.249,2026-04-18T12:03:50+02:00
2026-04-19,2.249,2026-04-19T12:03:52+02:00
2026-04-20,2.249,2026-04-20T12:05:53+02:00
2026-04-21,2.249,2026-04-21T12:05:24+02:00
2026-04-22,2.179,2026-04-22T12:03:31+02:00
2026-04-23,2.239,2026-04-23T12:03:38+02:00
2026-04-24,2.269,2026-04-24T12:03:44+02:00
2026-04-25,2.329,2026-04-25T12:03:19+02:00
2026-04-26,2.349,2026-04-26T12:01:54+02:00
2026-04-27,2.349,2026-04-27T12:03:47+02:00
2026-04-28,2.359,2026-04-28T12:02:59+02:00
2026-04-29,2.359,2026-04-29T12:04:31+02:00
2026-04-30,2.389,2026-04-30T12:07:37+02:00
