date,price,last_update
2026-07-02,2.179,2026-07-02T12:04:29+02:00
2026-07-03,2.159,2026-07-03T12:05:46+02:00
2026-07-04,2.159,2026-07-04T12:04:59+02:00
2026-07-05,2.159,2026-07-05T12:04:29+02:00
2026-07-06,2.139,2026-07-06T12:05:00+02:00
2026-07-07,2.149,2026-07-07T12:03:46+02:00
2026-07-08,2.149,2026-07-08T12:07:05+02:00
2026-07-09,2.199,2026-07-09T12:05:37+02:00
2026-07-10,2.179,2026-07-10T12:05:28+02:00
2026-07-11,2.179,2026-07-11T12:08:21+02:00
2026-07-12,2.179,2026-07-12T12:05:21+02:00
2026-07-13,2.169,2026-07-13T12:01:45+02:00
2026-07-14,2.199,2026-07-14T12:05:20+02:00
2026-07-15,2.239,2026-07-15T12:05:41+02:00
2026-07-16,2.249,2026-07-16T12:07:06+02:00
2026-07-17,2.249,2026-07-17T12:02:49+02:00
2026-07-18,2.249,2026-07-18T12:04:51+02:00
