date,price,last_update
2026-04-01,2.019,2026-04-01T09:18:53+02:00
2026-04-02,2.019,2026-04-02T12:00:00+02:00
2026-04-03,2.029,2026-04-03T12:06:55+02:00
2026-04-04,2.129,2026-04-04T12:06:56+02:00
2026-04-05,2.089,2026-04-05T12:05:46+02:00
2026-04-06,2.069,2026-04-06T12:00:00+02:00
2026-04-07,2.069,2026-04-07T12:00:00+02:00
2026-04-09,2.079,2026-04-08T16:37:24+02:00
2026-04-10,2.069,2026-04-09T12:00:56+02:00
2026-04-12,2.069,2026-04-11T17:12:09+02:00
2026-04-13,2.069,2026-04-13T08:49:30+02:00
2026-04-14,2.069,2026-04-13T08:49:30+02:00
2026-04-15,2.069,2026-04-15T11:54:20+02:00
2026-04-16,2.049,2026-04-15T15:48:13+02:00
2026-04-17,2.029,2026-04-16T16:07:15+02:00
2026-04-18,2.029,2026-04-17T16:31:12+02:00
2026-04-21,2.039,2026-04-20T16:14:00+02:00
2026-04-22,1.989,2026-04-22T10:07:46+02:00
2026-04-23,1.989,2026-04-22T10:07:46+02:00
2026-04-25,2.019,2026-04-25T12:07:22+02:00
2026-04-26,2.019,2026-04-25T12:07:22+02:00
2026-04-28,2.019,2026-04-27T18:07:29+02:00
2026-04-29,1.989,2026-04-29T11:07:40+02:00
2026-04-30,1.989,2026-04-29T11:07:40+02:00
2026-05-01,1.909,2026-05-01T09:43:38+02:00
2026-05-02,1.889,2026-05-02T10:01:50+02:00
2026-05-03,1.939,2026-05-03T12:08:44+02:00
