date,price,last_update
2026-04-01,2.304,2026-04-01T12:02:27+02:00
2026-04-02,2.304,2026-04-02T12:03:51+02:00
2026-04-03,2.304,2026-04-03T12:03:51+02:00
2026-04-04,2.304,2026-04-04T12:03:49+02:00
2026-04-05,2.404,2026-04-05T12:01:43+02:00
2026-04-06,2.304,2026-04-06T12:01:56+02:00
2026-04-07,2.304,2026-04-07T12:05:17+02:00
2026-04-08,2.304,2026-04-08T12:03:10+02:00
2026-04-09,2.304,2026-04-09T12:01:58+02:00
2026-04-10,2.254,2026-04-10T12:02:20+02:00
2026-04-11,2.204,2026-04-11T12:10:25+02:00
2026-04-12,2.254,2026-04-12T12:02:20+02:00
2026-04-13,2.254,2026-04-13T12:03:17+02:00
2026-04-14,2.254,2026-04-14T12:05:39+02:00
2026-04-15,2.254,2026-04-15T12:03:32+02:00
2026-04-16,2.204,2026-04-16T12:01:22+02:00
2026-04-17,2.204,2026-04-17T12:02:00+02:00
2026-04-18,2.204,2026-04-18T12:01:49+02:00
2026-04-19,2.174,2026-04-19T12:03:52+02:00
2026-04-20,2.204,2026-04-20T12:02:50+02:00
2026-04-21,2.204,2026-04-21T12:03:23+02:00
2026-04-22,2.254,2026-04-22T12:03:31+02:00
