date,price,last_update
2026-04-01,2.109,2026-04-01T12:00:00+02:00
2026-04-02,2.139,2026-04-02T12:01:46+02:00
2026-04-03,2.149,2026-04-03T11:57:46+02:00
2026-04-04,2.179,2026-04-04T12:06:56+02:00
2026-04-05,2.179,2026-04-05T12:00:00+02:00
2026-04-06,2.179,2026-04-06T12:00:00+02:00
2026-04-07,2.179,2026-04-07T12:05:17+02:00
2026-04-08,2.179,2026-04-07T12:05:17+02:00
2026-04-09,2.119,2026-04-09T10:32:22+02:00
2026-04-10,2.099,2026-04-10T09:31:28+02:00
2026-04-11,2.099,2026-04-10T12:38:54+02:00
2026-04-16,2.099,2026-04-15T15:10:28+02:00
