date,price,last_update
2026-04-01,2.079,2026-04-01T11:30:46+02:00
2026-04-02,2.149,2026-04-02T12:17:15+02:00
2026-04-03,2.189,2026-04-03T12:18:29+02:00
2026-04-04,2.189,2026-04-04T12:17:11+02:00
2026-04-05,2.189,2026-04-05T12:17:56+02:00
2026-04-06,2.189,2026-04-06T12:17:09+02:00
2026-04-07,2.209,2026-04-07T12:17:30+02:00
2026-04-08,2.189,2026-04-08T12:17:30+02:00
2026-04-09,2.079,2026-04-09T10:22:15+02:00
2026-04-10,2.039,2026-04-10T09:23:17+02:00
2026-04-11,2.039,2026-04-11T10:39:02+02:00
2026-04-12,2.039,2026-04-12T09:42:00+02:00
2026-04-13,2.039,2026-04-13T07:01:39+02:00
2026-04-14,2.039,2026-04-14T08:58:53+02:00
2026-04-15,2.019,2026-04-15T09:06:56+02:00
2026-04-16,1.999,2026-04-16T09:28:17+02:00
2026-04-17,1.989,2026-04-17T11:12:59+02:00
2026-04-18,1.999,2026-04-18T11:11:00+02:00
2026-04-19,1.989,2026-04-19T11:17:12+02:00
2026-04-20,1.979,2026-04-20T07:22:43+02:00
2026-04-21,1.979,2026-04-21T07:18:24+02:00
2026-04-22,1.989,2026-04-22T06:56:34+02:00
