date,price,last_update
2026-04-01,2.209,2026-04-01T12:00:00+02:00
2026-04-02,2.209,2026-04-02T12:00:00+02:00
2026-04-03,2.359,2026-04-03T12:10:00+02:00
2026-04-04,2.359,2026-04-04T12:00:00+02:00
2026-04-05,2.359,2026-04-05T12:00:00+02:00
2026-04-06,2.359,2026-04-06T12:00:00+02:00
2026-04-07,2.329,2026-04-07T18:41:58+02:00
2026-04-08,2.429,2026-04-08T12:08:19+02:00
2026-04-09,2.289,2026-04-09T08:37:16+02:00
2026-04-10,2.229,2026-04-09T17:39:09+02:00
2026-04-12,2.209,2026-04-11T13:12:23+02:00
2026-04-15,2.189,2026-04-14T13:27:27+02:00
2026-04-16,2.169,2026-04-16T10:47:44+02:00
2026-04-17,2.119,2026-04-16T14:32:26+02:00
2026-04-20,2.059,2026-04-20T11:23:13+02:00
2026-04-21,2.029,2026-04-21T08:17:33+02:00
2026-04-22,2.029,2026-04-21T08:17:33+02:00
2026-04-28,2.049,2026-04-27T15:24:55+02:00
2026-04-30,2.019,2026-04-30T08:14:57+02:00
2026-05-01,1.999,2026-05-01T10:48:36+02:00
2026-05-02,1.999,2026-05-01T10:48:36+02:00
2026-05-03,1.949,2026-05-02T14:45:21+02:00
2026-05-07,1.959,2026-05-06T12:11:53+02:00
2026-05-09,1.889,2026-05-09T11:27:29+02:00
