date,price,last_update
2026-04-01,2.269,2026-04-01T12:00:00+02:00
2026-04-02,2.269,2026-04-02T12:00:00+02:00
2026-04-03,2.269,2026-04-03T12:00:00+02:00
2026-04-04,2.369,2026-04-04T12:07:57+02:00
2026-04-05,2.459,2026-04-05T12:00:00+02:00
2026-04-06,2.449,2026-04-06T12:00:00+02:00
2026-04-07,2.449,2026-04-07T12:00:00+02:00
2026-04-08,2.389,2026-04-08T12:00:00+02:00
2026-04-09,2.339,2026-04-09T11:43:35+02:00
2026-04-10,2.289,2026-04-10T12:02:20+02:00
2026-04-11,2.259,2026-04-11T12:04:20+02:00
2026-04-12,2.259,2026-04-11T12:04:20+02:00
2026-04-14,2.249,2026-04-14T12:01:33+02:00
2026-04-15,2.199,2026-04-15T09:35:29+02:00
2026-04-16,2.159,2026-04-16T10:08:57+02:00
2026-04-17,2.139,2026-04-17T08:23:57+02:00
2026-04-18,2.089,2026-04-18T11:30:24+02:00
2026-04-19,2.089,2026-04-18T11:30:24+02:00
2026-04-20,2.089,2026-04-20T12:03:51+02:00
2026-04-21,2.069,2026-04-21T12:02:22+02:00
