date,price,last_update
2026-04-01,2.419,2026-04-01T12:07:36+02:00
2026-04-02,2.519,2026-04-02T12:06:54+02:00
2026-04-03,2.449,2026-04-03T12:06:55+02:00
2026-04-04,2.459,2026-04-04T12:09:58+02:00
2026-04-05,2.489,2026-04-05T12:07:49+02:00
2026-04-06,2.469,2026-04-06T12:06:59+02:00
2026-04-07,2.469,2026-04-07T12:00:00+02:00
2026-04-09,2.409,2026-04-09T07:44:15+02:00
2026-04-10,2.389,2026-04-10T08:22:06+02:00
2026-04-11,2.359,2026-04-11T07:43:19+02:00
2026-04-12,2.339,2026-04-12T06:07:43+02:00
2026-04-13,2.339,2026-04-12T06:07:43+02:00
2026-04-14,2.339,2026-04-13T14:37:43+02:00
2026-04-15,2.289,2026-04-15T10:31:43+02:00
2026-04-16,2.219,2026-04-16T09:13:56+02:00
2026-04-17,2.189,2026-04-17T12:07:10+02:00
2026-04-18,2.179,2026-04-18T12:07:53+02:00
2026-04-19,2.179,2026-04-19T12:07:56+02:00
2026-04-20,2.149,2026-04-20T08:13:40+02:00
2026-04-21,2.049,2026-04-21T07:57:59+02:00
2026-04-22,2.189,2026-04-22T12:07:35+02:00
2026-04-23,2.199,2026-04-23T12:10:43+02:00
2026-04-24,2.279,2026-04-24T12:08:49+02:00
2026-04-25,2.229,2026-04-25T12:08:23+02:00
2026-04-26,2.239,2026-04-26T12:06:58+02:00
2026-04-27,2.319,2026-04-27T12:07:50+02:00
2026-04-28,2.239,2026-04-28T12:07:04+02:00
2026-04-29,2.309,2026-04-29T12:07:35+02:00
