date,price,last_update
2026-04-01,2.359,2026-04-01T12:02:27+02:00
2026-04-02,2.359,2026-04-02T12:00:41+02:00
2026-04-03,2.439,2026-04-03T11:59:47+02:00
2026-04-04,2.479,2026-04-04T12:00:46+02:00
2026-04-05,2.499,2026-04-05T11:59:42+02:00
2026-04-06,2.509,2026-04-06T11:59:55+02:00
2026-04-07,2.469,2026-04-07T12:17:30+02:00
2026-04-08,2.499,2026-04-08T12:00:00+02:00
2026-04-09,2.389,2026-04-09T11:59:55+02:00
2026-04-10,2.339,2026-04-10T12:00:17+02:00
2026-04-11,2.319,2026-04-11T11:59:14+02:00
2026-04-12,2.309,2026-04-12T12:00:17+02:00
2026-04-13,2.349,2026-04-13T11:59:14+02:00
2026-04-14,2.369,2026-04-14T12:00:30+02:00
2026-04-15,2.339,2026-04-15T12:01:29+02:00
2026-04-16,2.279,2026-04-16T12:00:21+02:00
2026-04-17,2.259,2026-04-17T12:00:59+02:00
2026-04-18,2.209,2026-04-18T11:59:48+02:00
2026-04-19,2.209,2026-04-19T11:59:49+02:00
2026-04-20,2.209,2026-04-20T11:59:46+02:00
2026-04-21,2.209,2026-04-21T12:00:20+02:00
2026-04-22,2.209,2026-04-22T12:05:33+02:00
2026-04-23,2.209,2026-04-23T12:04:39+02:00
2026-04-24,2.249,2026-04-24T12:04:44+02:00
2026-04-25,2.279,2026-04-25T12:04:20+02:00
2026-04-26,2.299,2026-04-26T12:04:56+02:00
2026-04-27,2.289,2026-04-27T12:04:48+02:00
2026-04-28,2.169,2026-04-28T10:40:46+02:00
