date,price,last_update
2026-04-01,2.099,2026-04-01T12:12:43+02:00
2026-04-02,2.099,2026-04-02T12:00:00+02:00
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-04,2.149,2026-04-04T12:13:06+02:00
2026-04-05,2.149,2026-04-05T12:00:00+02:00
2026-04-06,2.149,2026-04-06T12:00:00+02:00
2026-04-07,2.149,2026-04-07T12:00:00+02:00
2026-04-09,2.149,2026-04-09T10:50:42+02:00
2026-04-10,2.149,2026-04-09T10:50:42+02:00
2026-04-11,2.129,2026-04-10T15:28:56+02:00
2026-04-12,2.119,2026-04-11T12:45:57+02:00
2026-04-14,2.119,2026-04-14T11:06:17+02:00
2026-04-15,2.119,2026-04-15T10:52:09+02:00
2026-04-16,2.099,2026-04-15T15:32:50+02:00
2026-04-21,2.089,2026-04-21T10:28:44+02:00
2026-04-22,2.089,2026-04-21T15:34:50+02:00
2026-04-26,2.099,2026-04-25T19:40:44+02:00
2026-04-28,2.099,2026-04-28T08:16:29+02:00
2026-04-29,2.159,2026-04-29T12:05:33+02:00
2026-04-30,2.129,2026-04-29T15:34:56+02:00
2026-05-02,2.089,2026-05-02T10:36:28+02:00
2026-05-03,2.059,2026-05-02T19:47:15+02:00
2026-05-06,2.059,2026-05-06T12:10:52+02:00
2026-05-07,2.059,2026-05-06T12:10:52+02:00
2026-05-08,2.039,2026-05-07T13:53:52+02:00
2026-05-12,2.019,2026-05-12T09:56:40+02:00
2026-05-13,2.019,2026-05-12T09:56:40+02:00
2026-05-16,1.999,2026-05-16T09:54:49+02:00
2026-05-17,1.999,2026-05-16T09:54:49+02:00
2026-05-22,2.029,2026-05-21T12:04:24+02:00
2026-05-26,2.019,2026-05-26T09:00:20+02:00
2026-05-27,1.999,2026-05-26T15:34:41+02:00
2026-05-28,1.999,2026-05-28T08:51:06+02:00
2026-05-29,1.999,2026-05-28T08:51:06+02:00
2026-05-31,1.989,2026-05-30T14:56:37+02:00
2026-06-01,1.989,2026-06-01T10:58:29+02:00
2026-06-02,1.989,2026-06-01T15:06:50+02:00
