date,price,last_update
2026-04-01,2.204,2026-04-01T12:44:44+02:00
2026-04-02,2.214,2026-04-02T12:24:38+02:00
2026-04-03,2.214,2026-04-03T12:00:00+02:00
2026-04-04,2.214,2026-04-04T12:00:00+02:00
2026-04-05,2.214,2026-04-05T12:00:00+02:00
2026-04-06,2.214,2026-04-06T12:00:00+02:00
2026-04-07,2.274,2026-04-07T13:02:22+02:00
2026-04-08,2.144,2026-04-08T11:46:44+02:00
2026-04-09,2.134,2026-04-09T11:27:22+02:00
2026-04-10,2.114,2026-04-10T11:31:48+02:00
2026-04-11,2.094,2026-04-10T16:51:23+02:00
2026-04-13,2.084,2026-04-13T06:49:27+02:00
2026-04-14,2.074,2026-04-14T09:55:55+02:00
2026-04-15,2.094,2026-04-15T10:18:26+02:00
2026-04-16,2.074,2026-04-16T09:25:13+02:00
2026-04-17,2.044,2026-04-17T07:25:52+02:00
2026-04-18,2.044,2026-04-17T07:25:52+02:00
2026-04-19,2.024,2026-04-18T17:06:34+02:00
2026-04-20,1.994,2026-04-19T19:09:42+02:00
2026-04-21,2.004,2026-04-21T06:38:48+02:00
2026-04-22,2.024,2026-04-22T07:49:36+02:00
