date,price,last_update
2026-04-01,2.339,2026-04-01T14:48:58+02:00
2026-04-02,2.469,2026-04-02T12:00:41+02:00
2026-04-03,2.429,2026-04-03T12:06:55+02:00
2026-04-04,2.459,2026-04-04T12:04:54+02:00
2026-04-05,2.459,2026-04-05T12:26:01+02:00
2026-04-06,2.539,2026-04-06T12:12:05+02:00
2026-04-07,2.519,2026-04-07T12:07:20+02:00
2026-04-08,2.549,2026-04-08T12:07:18+02:00
2026-04-09,2.459,2026-04-09T12:12:16+02:00
2026-04-10,2.459,2026-04-10T12:12:29+02:00
2026-04-11,2.369,2026-04-11T12:12:27+02:00
2026-04-12,2.239,2026-04-12T10:12:29+02:00
2026-04-13,2.359,2026-04-13T12:13:30+02:00
2026-04-14,2.379,2026-04-14T12:11:48+02:00
2026-04-15,2.339,2026-04-15T12:12:42+02:00
2026-04-16,2.309,2026-04-16T12:13:36+02:00
2026-04-17,2.339,2026-04-17T12:07:10+02:00
2026-04-18,2.279,2026-04-18T12:11:56+02:00
