date,price,last_update
2026-04-01,2.349,2026-04-01T12:21:02+02:00
2026-04-02,2.319,2026-04-02T12:09:58+02:00
2026-04-03,2.399,2026-04-03T12:18:29+02:00
2026-04-04,2.369,2026-04-04T12:23:17+02:00
2026-04-05,2.369,2026-04-05T12:00:00+02:00
2026-04-06,2.369,2026-04-06T12:22:13+02:00
2026-04-07,2.409,2026-04-07T12:24:36+02:00
2026-04-08,2.399,2026-04-08T12:20:35+02:00
2026-04-09,2.279,2026-04-09T11:23:18+02:00
2026-04-10,2.239,2026-04-10T11:41:57+02:00
2026-04-11,2.229,2026-04-11T09:46:13+02:00
2026-04-12,2.229,2026-04-12T09:56:15+02:00
2026-04-13,2.229,2026-04-13T09:53:44+02:00
2026-04-14,2.239,2026-04-14T10:02:02+02:00
2026-04-15,2.179,2026-04-15T11:14:33+02:00
2026-04-16,2.119,2026-04-16T10:24:18+02:00
2026-04-17,2.109,2026-04-17T09:57:44+02:00
2026-04-18,2.079,2026-04-18T11:15:10+02:00
2026-04-19,2.079,2026-04-19T08:18:24+02:00
2026-04-20,2.049,2026-04-20T11:44:33+02:00
2026-04-21,2.039,2026-04-20T19:14:05+02:00
2026-04-22,2.029,2026-04-21T19:12:20+02:00
2026-04-23,2.089,2026-04-23T09:08:45+02:00
2026-04-24,2.119,2026-04-24T09:13:14+02:00
2026-04-25,2.149,2026-04-24T18:42:50+02:00
2026-04-26,2.139,2026-04-26T09:34:52+02:00
2026-04-27,2.149,2026-04-27T06:44:30+02:00
2026-04-28,2.149,2026-04-28T06:48:14+02:00
2026-04-29,2.149,2026-04-29T09:58:33+02:00
2026-04-30,2.169,2026-04-29T17:34:50+02:00
2026-05-01,2.059,2026-05-01T10:55:58+02:00
2026-05-02,2.059,2026-05-01T13:26:38+02:00
2026-05-03,2.079,2026-05-02T19:23:40+02:00
2026-05-04,2.059,2026-05-04T10:05:18+02:00
2026-05-05,2.059,2026-05-05T09:22:56+02:00
2026-05-06,2.019,2026-05-06T11:35:19+02:00
2026-05-07,1.969,2026-05-07T10:53:38+02:00
2026-05-08,1.929,2026-05-08T10:24:43+02:00
2026-05-09,1.909,2026-05-08T15:19:45+02:00
2026-05-10,1.909,2026-05-09T18:16:10+02:00
2026-05-11,1.909,2026-05-10T12:39:27+02:00
2026-05-12,1.909,2026-05-11T13:04:31+02:00
2026-05-13,1.919,2026-05-12T17:24:01+02:00
2026-05-14,2.079,2026-05-13T13:49:42+02:00
2026-05-16,1.909,2026-05-16T07:35:38+02:00
2026-05-17,1.929,2026-05-16T17:36:54+02:00
2026-05-18,1.919,2026-05-18T09:18:52+02:00
2026-05-19,1.939,2026-05-19T09:30:39+02:00
2026-05-20,1.909,2026-05-20T11:25:36+02:00
2026-05-21,1.879,2026-05-21T09:58:41+02:00
2026-05-22,1.869,2026-05-22T10:48:11+02:00
2026-05-23,1.869,2026-05-23T07:35:01+02:00
2026-05-24,1.869,2026-05-23T21:00:40+02:00
2026-05-25,1.869,2026-05-24T19:33:31+02:00
2026-05-26,1.859,2026-05-26T11:15:37+02:00
2026-05-27,1.839,2026-05-27T10:19:13+02:00
2026-05-28,1.809,2026-05-28T10:28:32+02:00
2026-05-29,1.789,2026-05-29T10:25:34+02:00
2026-05-30,1.779,2026-05-30T08:14:59+02:00
2026-05-31,1.779,2026-05-31T07:15:59+02:00
2026-06-01,1.779,2026-06-01T05:12:47+02:00
2026-06-02,1.779,2026-06-02T07:00:30+02:00
2026-06-03,1.799,2026-06-03T10:33:24+02:00
2026-06-04,1.849,2026-06-03T19:36:05+02:00
2026-06-05,1.829,2026-06-05T11:02:28+02:00
2026-06-06,1.829,2026-06-06T08:13:18+02:00
2026-06-07,1.829,2026-06-06T19:51:43+02:00
2026-06-08,1.809,2026-06-08T11:57:40+02:00
2026-06-09,1.829,2026-06-09T09:15:16+02:00
2026-06-10,1.789,2026-06-10T09:50:07+02:00
2026-06-11,1.779,2026-06-11T10:14:32+02:00
2026-06-12,1.789,2026-06-12T09:03:27+02:00
2026-06-13,1.779,2026-06-12T19:19:14+02:00
2026-06-14,1.739,2026-06-14T09:33:11+02:00
2026-06-15,1.739,2026-06-15T08:35:51+02:00
2026-06-16,1.729,2026-06-16T09:00:44+02:00
2026-06-17,1.699,2026-06-17T09:18:57+02:00
2026-06-18,1.689,2026-06-18T09:46:19+02:00
2026-06-19,1.649,2026-06-19T09:55:44+02:00
2026-06-20,1.659,2026-06-20T09:53:20+02:00
2026-06-21,1.679,2026-06-21T09:34:20+02:00
2026-06-22,1.669,2026-06-22T09:46:40+02:00
2026-06-23,1.679,2026-06-23T10:36:53+02:00
2026-06-24,1.659,2026-06-24T09:54:17+02:00
2026-06-25,1.669,2026-06-25T11:43:51+02:00
2026-06-26,1.679,2026-06-26T10:15:59+02:00
2026-06-27,1.689,2026-06-27T09:34:16+02:00
2026-06-28,1.689,2026-06-28T07:15:00+02:00
2026-06-29,1.689,2026-06-29T09:19:13+02:00
2026-06-30,1.709,2026-06-29T20:26:04+02:00
2026-07-01,1.849,2026-06-30T18:15:30+02:00
2026-07-02,1.889,2026-07-02T10:35:46+02:00
2026-07-03,1.889,2026-07-03T09:31:43+02:00
2026-07-04,1.889,2026-07-03T19:25:30+02:00
2026-07-05,1.889,2026-07-05T08:37:30+02:00
2026-07-06,1.869,2026-07-06T09:41:08+02:00
2026-07-07,1.869,2026-07-06T09:41:08+02:00
2026-07-08,1.889,2026-07-08T10:32:21+02:00
2026-07-09,1.909,2026-07-09T06:58:34+02:00
2026-07-10,1.959,2026-07-10T08:29:56+02:00
2026-07-11,1.969,2026-07-11T07:25:29+02:00
2026-07-12,1.959,2026-07-12T09:28:57+02:00
2026-07-13,1.959,2026-07-13T10:30:04+02:00
2026-07-14,1.979,2026-07-13T19:30:13+02:00
2026-07-15,2.049,2026-07-15T06:58:03+02:00
2026-07-16,2.089,2026-07-16T09:14:50+02:00
2026-07-17,2.089,2026-07-17T09:35:25+02:00
2026-07-18,2.099,2026-07-18T07:37:43+02:00
2026-07-19,2.089,2026-07-19T10:32:19+02:00
2026-07-20,2.089,2026-07-20T09:36:25+02:00
