date,price,last_update
2026-04-01,2.069,2026-04-01T10:35:07+02:00
2026-04-02,2.199,2026-04-02T12:16:09+02:00
2026-04-03,2.249,2026-04-03T12:21:31+02:00
2026-04-04,2.239,2026-04-04T12:20:13+02:00
2026-04-05,2.169,2026-04-05T12:11:51+02:00
2026-04-06,2.219,2026-04-06T12:18:10+02:00
2026-04-07,2.219,2026-04-07T12:14:27+02:00
2026-04-08,2.179,2026-04-08T12:17:30+02:00
2026-04-09,2.129,2026-04-09T11:03:55+02:00
2026-04-10,2.119,2026-04-10T08:45:36+02:00
2026-04-11,2.119,2026-04-11T08:56:26+02:00
2026-04-12,2.109,2026-04-12T12:12:29+02:00
2026-04-13,2.119,2026-04-13T12:11:27+02:00
2026-04-14,2.199,2026-04-14T12:12:48+02:00
