date,price,last_update
2026-04-01,2.199,2026-04-01T11:54:17+02:00
2026-04-02,2.359,2026-04-02T12:04:53+02:00
2026-04-03,2.459,2026-04-03T12:06:55+02:00
2026-04-04,2.449,2026-04-04T12:11:04+02:00
2026-04-05,2.459,2026-04-05T12:05:46+02:00
2026-04-06,2.529,2026-04-06T12:12:05+02:00
2026-04-07,2.469,2026-04-07T12:12:25+02:00
2026-04-08,2.499,2026-04-08T12:11:24+02:00
2026-04-09,2.429,2026-04-09T12:11:16+02:00
2026-04-10,2.389,2026-04-10T12:10:27+02:00
2026-04-11,2.399,2026-04-11T12:12:27+02:00
2026-04-12,2.249,2026-04-11T12:54:06+02:00
2026-04-13,2.349,2026-04-13T12:10:26+02:00
