date,price,last_update
2026-04-01,2.189,2026-04-01T12:00:00+02:00
2026-04-02,2.169,2026-04-02T12:00:00+02:00
2026-04-03,2.189,2026-04-03T12:02:50+02:00
2026-04-04,2.229,2026-04-04T12:02:49+02:00
2026-04-05,2.229,2026-04-05T12:00:00+02:00
2026-04-06,2.229,2026-04-06T12:00:00+02:00
2026-04-07,2.229,2026-04-07T12:00:00+02:00
2026-04-09,2.249,2026-04-09T12:04:00+02:00
2026-04-10,2.149,2026-04-09T18:44:16+02:00
2026-04-11,2.129,2026-04-10T17:55:23+02:00
2026-04-16,2.099,2026-04-16T07:30:53+02:00
2026-04-17,2.099,2026-04-16T07:30:53+02:00
2026-04-20,2.099,2026-04-19T15:01:34+02:00
