date,price,last_update
2026-04-01,2.269,2026-04-01T12:04:33+02:00
2026-04-02,2.239,2026-04-02T12:04:53+02:00
2026-04-03,2.329,2026-04-03T12:04:54+02:00
2026-04-04,2.309,2026-04-04T12:04:54+02:00
2026-04-05,2.329,2026-04-05T12:04:45+02:00
2026-04-06,2.329,2026-04-06T12:06:59+02:00
2026-04-07,2.329,2026-04-07T12:05:17+02:00
2026-04-08,2.309,2026-04-08T12:05:15+02:00
2026-04-09,2.239,2026-04-09T12:07:09+02:00
2026-04-10,2.239,2026-04-10T12:07:24+02:00
2026-04-11,2.239,2026-04-11T12:03:19+02:00
2026-04-12,2.239,2026-04-12T12:05:23+02:00
2026-04-13,2.239,2026-04-13T12:07:23+02:00
2026-04-14,2.239,2026-04-14T12:07:41+02:00
2026-04-15,2.239,2026-04-15T12:05:34+02:00
2026-04-16,2.239,2026-04-16T12:07:29+02:00
2026-04-17,2.189,2026-04-16T12:46:20+02:00
2026-04-18,2.229,2026-04-18T12:01:49+02:00
2026-04-19,2.229,2026-04-19T12:04:53+02:00
2026-04-20,2.229,2026-04-20T12:06:54+02:00
2026-04-21,2.229,2026-04-21T12:05:24+02:00
2026-04-22,2.249,2026-04-22T12:04:32+02:00
2026-04-23,2.169,2026-04-22T17:51:53+02:00
2026-04-24,2.269,2026-04-24T12:05:45+02:00
2026-04-25,2.269,2026-04-25T12:05:20+02:00
2026-04-26,2.269,2026-04-26T12:06:58+02:00
