date,price,last_update
2026-04-01,2.229,2026-04-01T12:00:00+02:00
2026-04-06,2.229,2026-04-06T12:00:00+02:00
2026-04-21,2.239,2026-04-21T12:01:21+02:00
2026-04-22,2.239,2026-04-22T12:01:30+02:00
2026-04-23,2.289,2026-04-23T12:01:36+02:00
2026-04-24,2.319,2026-04-24T12:00:42+02:00
2026-04-25,2.319,2026-04-25T12:02:19+02:00
2026-04-26,2.319,2026-04-26T12:00:53+02:00
2026-04-27,2.319,2026-04-27T12:00:43+02:00
2026-04-28,2.319,2026-04-28T12:01:58+02:00
2026-04-29,2.319,2026-04-29T12:01:29+02:00
2026-04-30,2.359,2026-04-30T12:01:31+02:00
2026-05-01,2.189,2026-05-01T12:02:18+02:00
2026-05-02,2.189,2026-05-02T12:01:14+02:00
2026-05-03,2.189,2026-05-03T12:01:27+02:00
2026-05-04,2.189,2026-05-04T12:02:54+02:00
2026-05-05,2.189,2026-05-05T12:00:38+02:00
2026-05-06,2.019,2026-05-06T11:25:00+02:00
