date,price,last_update
2026-04-01,2.179,2026-04-01T12:34:26+02:00
2026-04-02,2.189,2026-04-02T12:35:05+02:00
2026-04-03,2.229,2026-04-03T12:35:00+02:00
2026-04-04,2.229,2026-04-04T12:33:33+02:00
2026-04-05,2.229,2026-04-05T12:34:09+02:00
2026-04-06,2.239,2026-04-06T12:34:21+02:00
2026-04-07,2.229,2026-04-07T12:33:45+02:00
2026-04-08,2.189,2026-04-08T12:34:50+02:00
2026-04-09,2.089,2026-04-09T10:15:02+02:00
2026-04-10,2.069,2026-04-10T10:01:10+02:00
2026-04-11,2.069,2026-04-11T09:45:12+02:00
2026-04-12,2.059,2026-04-12T08:19:38+02:00
2026-04-13,2.069,2026-04-13T10:30:20+02:00
2026-04-14,2.059,2026-04-14T11:34:53+02:00
2026-04-15,2.049,2026-04-15T10:50:07+02:00
2026-04-16,2.039,2026-04-15T18:15:11+02:00
2026-04-17,2.039,2026-04-16T18:30:37+02:00
2026-04-18,2.029,2026-04-18T09:30:24+02:00
2026-04-19,2.049,2026-04-19T06:35:46+02:00
2026-04-20,2.049,2026-04-19T17:40:14+02:00
2026-04-21,2.019,2026-04-21T08:23:42+02:00
2026-04-22,1.999,2026-04-22T09:21:06+02:00
2026-04-23,2.029,2026-04-23T09:35:09+02:00
2026-04-24,2.049,2026-04-24T08:05:17+02:00
2026-04-25,2.049,2026-04-25T09:40:19+02:00
2026-04-26,2.049,2026-04-26T06:20:12+02:00
2026-04-27,2.049,2026-04-26T20:10:58+02:00
2026-04-28,2.019,2026-04-28T08:24:40+02:00
