date,price,last_update
2026-04-01,2.429,2026-04-01T12:03:32+02:00
2026-04-02,2.429,2026-04-02T12:02:48+02:00
2026-04-03,2.509,2026-04-03T12:02:50+02:00
2026-04-04,2.519,2026-04-04T12:02:49+02:00
2026-04-05,2.539,2026-04-05T12:01:43+02:00
2026-04-06,2.529,2026-04-06T12:01:56+02:00
2026-04-07,2.489,2026-04-07T12:01:14+02:00
2026-04-08,2.489,2026-04-08T12:02:08+02:00
2026-04-09,2.349,2026-04-09T12:01:58+02:00
2026-04-10,2.299,2026-04-10T12:01:19+02:00
2026-04-11,2.349,2026-04-11T12:02:18+02:00
2026-04-12,2.349,2026-04-12T12:02:20+02:00
2026-04-13,2.349,2026-04-13T12:03:17+02:00
2026-04-14,2.369,2026-04-14T12:01:33+02:00
2026-04-15,2.239,2026-04-15T12:02:30+02:00
2026-04-16,2.199,2026-04-16T12:01:22+02:00
2026-04-17,2.179,2026-04-17T12:00:59+02:00
2026-04-18,2.159,2026-04-18T12:00:48+02:00
2026-04-19,2.169,2026-04-19T12:01:51+02:00
2026-04-20,2.169,2026-04-20T12:02:50+02:00
2026-04-21,2.169,2026-04-21T12:01:21+02:00
2026-04-22,2.119,2026-04-22T12:01:30+02:00
2026-04-23,2.169,2026-04-23T12:01:36+02:00
2026-04-24,2.159,2026-04-24T12:01:42+02:00
2026-04-25,2.179,2026-04-25T12:02:19+02:00
2026-04-26,2.169,2026-04-26T12:01:54+02:00
2026-04-27,2.169,2026-04-27T12:01:45+02:00
