date,price,last_update
2026-04-01,2.759,2026-04-01T12:08:37+02:00
2026-04-02,2.729,2026-04-02T12:00:00+02:00
2026-04-03,2.869,2026-04-03T12:04:54+02:00
2026-04-04,2.829,2026-04-04T12:04:54+02:00
2026-04-05,2.829,2026-04-05T12:05:46+02:00
2026-04-06,2.829,2026-04-06T12:04:58+02:00
2026-04-07,2.829,2026-04-07T12:03:16+02:00
2026-04-08,2.859,2026-04-08T12:03:10+02:00
2026-04-09,2.859,2026-04-09T12:04:00+02:00
2026-04-10,2.809,2026-04-10T12:02:20+02:00
2026-04-11,2.829,2026-04-11T12:08:23+02:00
2026-04-12,2.829,2026-04-12T12:05:23+02:00
2026-04-13,2.829,2026-04-13T12:03:17+02:00
2026-04-14,2.829,2026-04-14T12:02:34+02:00
2026-04-15,2.789,2026-04-15T12:04:33+02:00
2026-04-16,2.759,2026-04-16T12:07:29+02:00
2026-04-17,2.739,2026-04-17T12:04:05+02:00
2026-04-18,2.739,2026-04-18T12:03:50+02:00
2026-04-19,2.739,2026-04-19T12:03:52+02:00
2026-04-20,2.739,2026-04-20T12:02:50+02:00
2026-04-21,2.739,2026-04-21T12:13:31+02:00
2026-04-22,2.709,2026-04-22T12:02:31+02:00
