date,price,last_update
2026-04-01,2.299,2026-04-01T12:00:00+02:00
2026-04-03,2.349,2026-04-03T12:00:00+02:00
2026-04-04,2.349,2026-04-04T12:00:00+02:00
2026-04-05,2.349,2026-04-05T12:00:00+02:00
2026-04-06,2.349,2026-04-06T12:00:00+02:00
2026-04-07,2.429,2026-04-07T12:00:00+02:00
2026-04-08,2.429,2026-04-07T09:45:53+02:00
2026-04-11,2.389,2026-04-10T14:16:43+02:00
2026-04-16,2.289,2026-04-15T14:01:09+02:00
2026-04-17,2.289,2026-04-16T16:45:55+02:00
2026-04-22,2.289,2026-04-22T10:15:51+02:00
2026-04-23,2.189,2026-04-22T14:05:22+02:00
2026-05-02,1.989,2026-05-02T09:21:31+02:00
2026-05-03,1.989,2026-05-02T09:21:31+02:00
2026-05-22,1.939,2026-05-21T14:07:17+02:00
2026-05-30,1.839,2026-05-30T09:27:05+02:00
2026-05-31,1.839,2026-05-30T09:27:05+02:00
2026-06-08,1.839,2026-06-08T11:57:40+02:00
2026-06-09,1.839,2026-06-09T04:11:34+02:00
2026-06-10,1.839,2026-06-09T04:11:34+02:00
2026-06-11,1.839,2026-06-11T06:59:17+02:00
2026-06-12,1.839,2026-06-11T06:59:17+02:00
2026-06-14,1.839,2026-06-14T04:11:45+02:00
2026-06-15,1.839,2026-06-15T07:50:06+02:00
2026-06-16,1.839,2026-06-15T06:01:23+02:00
2026-06-17,1.839,2026-06-16T13:37:13+02:00
2026-06-27,1.759,2026-06-26T14:21:31+02:00
2026-06-29,1.759,2026-06-29T07:45:19+02:00
2026-06-30,1.759,2026-06-30T11:01:36+02:00
2026-07-01,1.759,2026-06-30T11:01:36+02:00
2026-07-02,1.799,2026-07-01T17:45:56+02:00
2026-07-04,1.899,2026-07-03T14:10:33+02:00
2026-07-11,1.999,2026-07-10T14:07:52+02:00
2026-07-18,2.089,2026-07-17T13:40:18+02:00
2026-07-26,2.089,2026-07-26T07:33:20+02:00
2026-07-27,2.089,2026-07-26T07:33:20+02:00
2026-08-02,2.139,2026-08-02T10:01:07+02:00
2026-08-03,2.139,2026-08-02T10:01:07+02:00
2026-08-05,2.099,2026-08-05T11:16:08+02:00
2026-08-06,2.099,2026-08-05T11:16:08+02:00
2026-08-13,2.149,2026-08-12T14:35:23+02:00
2026-08-20,2.199,2026-08-19T14:02:44+02:00
2026-08-29,2.159,2026-08-29T10:11:20+02:00
2026-08-30,2.159,2026-08-29T10:11:20+02:00
2026-09-03,2.159,2026-09-03T09:42:27+02:00
2026-09-04,2.159,2026-09-03T09:42:27+02:00
