date,price,last_update
2026-04-01,2.229,2026-04-01T11:56:19+02:00
2026-04-02,2.279,2026-04-02T11:57:34+02:00
2026-04-03,2.279,2026-04-03T11:57:46+02:00
2026-04-04,2.279,2026-04-04T11:57:43+02:00
2026-04-05,2.279,2026-04-05T11:57:40+02:00
2026-04-06,2.279,2026-04-06T11:55:52+02:00
2026-04-07,2.279,2026-04-07T11:57:07+02:00
2026-04-08,2.199,2026-04-08T12:00:00+02:00
2026-04-09,2.219,2026-04-09T11:56:51+02:00
2026-04-10,2.229,2026-04-10T11:56:14+02:00
2026-04-11,2.209,2026-04-11T11:57:13+02:00
2026-04-12,2.209,2026-04-12T11:56:14+02:00
2026-04-13,2.259,2026-04-13T11:57:11+02:00
2026-04-14,2.229,2026-04-14T11:57:27+02:00
2026-04-15,2.229,2026-04-15T11:55:21+02:00
2026-04-16,2.229,2026-04-16T11:56:17+02:00
2026-04-17,2.199,2026-04-17T11:56:54+02:00
2026-04-18,2.199,2026-04-18T11:57:45+02:00
2026-04-19,2.199,2026-04-19T11:56:47+02:00
2026-04-20,2.209,2026-04-20T11:56:44+02:00
2026-04-21,2.199,2026-04-21T11:57:17+02:00
2026-04-22,2.209,2026-04-22T11:57:27+02:00
2026-04-23,2.239,2026-04-23T11:56:29+02:00
2026-04-24,2.249,2026-04-24T11:58:40+02:00
