date,price,last_update
2026-04-01,2.049,2026-04-01T06:12:42+02:00
2026-04-02,2.239,2026-04-02T12:19:24+02:00
2026-04-03,2.229,2026-04-03T12:18:29+02:00
2026-04-04,2.189,2026-04-04T12:00:00+02:00
2026-04-05,2.189,2026-04-05T12:00:00+02:00
2026-04-06,2.189,2026-04-06T12:00:00+02:00
2026-04-09,2.109,2026-04-09T11:35:29+02:00
2026-04-10,2.089,2026-04-10T10:33:41+02:00
2026-04-11,2.079,2026-04-11T11:32:51+02:00
2026-04-12,2.089,2026-04-12T11:31:46+02:00
2026-04-13,2.089,2026-04-13T11:31:33+02:00
2026-04-14,2.119,2026-04-14T09:18:17+02:00
