date,price,last_update
2026-04-01,2.169,2026-04-01T11:51:13+02:00
2026-04-02,2.169,2026-04-02T12:00:00+02:00
2026-04-03,2.169,2026-04-03T12:00:00+02:00
2026-04-04,2.189,2026-04-04T12:16:10+02:00
2026-04-05,2.189,2026-04-05T12:00:00+02:00
2026-04-06,2.189,2026-04-06T12:00:00+02:00
2026-04-07,2.209,2026-04-07T12:44:59+02:00
2026-04-08,2.209,2026-04-07T12:44:59+02:00
2026-04-09,2.169,2026-04-08T14:41:56+02:00
2026-04-10,2.089,2026-04-10T10:38:47+02:00
2026-04-11,2.089,2026-04-10T10:38:47+02:00
2026-04-14,2.119,2026-04-14T12:05:39+02:00
2026-04-15,2.109,2026-04-14T17:49:17+02:00
2026-04-16,2.109,2026-04-15T14:34:48+02:00
2026-04-17,2.079,2026-04-17T09:13:54+02:00
2026-04-18,2.079,2026-04-17T09:13:54+02:00
2026-04-19,2.049,2026-04-18T12:19:03+02:00
2026-04-21,2.049,2026-04-21T08:44:03+02:00
2026-04-22,2.089,2026-04-22T12:01:30+02:00
2026-04-23,2.109,2026-04-23T12:14:45+02:00
2026-04-24,2.129,2026-04-24T12:07:48+02:00
2026-04-25,2.089,2026-04-24T16:31:47+02:00
2026-04-28,2.119,2026-04-27T12:04:48+02:00
2026-04-30,2.209,2026-04-30T12:02:32+02:00
2026-05-01,2.029,2026-05-01T10:59:07+02:00
2026-05-02,2.029,2026-05-01T10:59:07+02:00
2026-05-08,1.999,2026-05-08T09:53:19+02:00
2026-05-09,1.999,2026-05-09T09:57:09+02:00
2026-05-10,1.999,2026-05-09T09:57:09+02:00
2026-05-11,2.019,2026-05-11T12:07:47+02:00
2026-05-12,2.019,2026-05-11T18:02:03+02:00
2026-05-19,2.049,2026-05-19T11:09:01+02:00
2026-05-20,2.049,2026-05-19T11:09:01+02:00
2026-05-21,2.039,2026-05-21T08:29:26+02:00
