date,price,last_update
2026-04-01,2.249,2026-04-01T12:00:00+02:00
2026-04-02,2.299,2026-04-02T12:01:46+02:00
2026-04-03,2.299,2026-04-03T12:00:00+02:00
2026-04-04,2.349,2026-04-04T13:57:50+02:00
2026-04-05,2.349,2026-04-05T12:00:00+02:00
2026-04-06,2.349,2026-04-06T12:00:00+02:00
2026-04-07,2.389,2026-04-07T18:18:40+02:00
2026-04-08,2.389,2026-04-07T18:18:40+02:00
2026-04-09,2.249,2026-04-09T12:01:58+02:00
2026-04-10,2.249,2026-04-09T12:01:58+02:00
2026-04-11,2.199,2026-04-10T18:00:27+02:00
2026-04-14,2.249,2026-04-13T12:02:16+02:00
2026-04-15,2.199,2026-04-14T18:01:29+02:00
2026-04-16,2.149,2026-04-15T14:09:18+02:00
2026-04-18,2.099,2026-04-17T17:38:20+02:00
2026-04-22,2.079,2026-04-21T14:02:15+02:00
2026-04-28,2.099,2026-04-27T12:03:47+02:00
2026-04-29,2.099,2026-04-28T15:14:57+02:00
2026-05-01,1.999,2026-05-01T09:19:14+02:00
2026-05-02,1.999,2026-05-01T09:19:14+02:00
2026-05-08,1.939,2026-05-07T12:39:38+02:00
2026-05-23,1.899,2026-05-22T15:56:38+02:00
2026-05-27,1.849,2026-05-26T15:56:01+02:00
2026-05-30,1.799,2026-05-29T15:51:57+02:00
2026-06-04,1.839,2026-06-03T12:03:51+02:00
2026-06-05,1.799,2026-06-05T10:21:47+02:00
2026-06-06,1.799,2026-06-05T10:21:47+02:00
2026-06-08,1.799,2026-06-08T11:57:40+02:00
2026-06-09,1.799,2026-06-09T04:11:34+02:00
2026-06-10,1.799,2026-06-09T04:11:34+02:00
2026-06-11,1.799,2026-06-11T06:59:17+02:00
2026-06-12,1.769,2026-06-11T12:44:45+02:00
2026-06-14,1.769,2026-06-14T04:11:45+02:00
2026-06-15,1.769,2026-06-15T07:50:06+02:00
2026-06-16,1.729,2026-06-16T07:58:40+02:00
2026-06-17,1.699,2026-06-17T09:19:58+02:00
2026-06-18,1.699,2026-06-17T09:19:58+02:00
2026-06-20,1.669,2026-06-19T17:21:01+02:00
2026-06-27,1.699,2026-06-26T12:02:52+02:00
2026-06-29,1.699,2026-06-29T07:45:19+02:00
2026-06-30,1.739,2026-06-30T12:02:31+02:00
2026-07-01,1.799,2026-07-01T12:02:07+02:00
2026-07-02,1.849,2026-07-02T12:02:26+02:00
2026-07-03,1.879,2026-07-03T12:02:43+02:00
2026-07-04,1.879,2026-07-03T12:02:43+02:00
