date,price,last_update
2026-04-01,2.229,2026-04-01T12:09:37+02:00
2026-04-02,2.109,2026-04-02T12:09:58+02:00
2026-04-03,2.109,2026-04-03T12:06:55+02:00
2026-04-04,2.109,2026-04-04T12:09:58+02:00
2026-04-05,2.109,2026-04-05T12:07:49+02:00
2026-04-06,2.109,2026-04-06T12:10:03+02:00
2026-04-07,2.219,2026-04-07T12:07:20+02:00
2026-04-08,2.219,2026-04-08T12:09:20+02:00
2026-04-09,2.219,2026-04-09T12:07:09+02:00
2026-04-10,2.169,2026-04-10T12:08:25+02:00
2026-04-11,2.169,2026-04-11T12:07:23+02:00
2026-04-12,2.169,2026-04-12T12:11:29+02:00
2026-04-13,2.169,2026-04-13T12:09:25+02:00
2026-04-14,2.169,2026-04-14T12:07:41+02:00
2026-04-15,2.149,2026-04-15T12:09:38+02:00
2026-04-16,2.149,2026-04-16T12:09:30+02:00
2026-04-17,2.159,2026-04-17T12:11:15+02:00
2026-04-18,2.159,2026-04-18T12:09:55+02:00
