date,price,last_update
2026-04-01,2.329,2026-04-01T12:24:08+02:00
2026-04-02,2.349,2026-04-02T12:00:41+02:00
2026-04-03,2.429,2026-04-03T12:13:07+02:00
2026-04-04,2.479,2026-04-04T12:06:56+02:00
2026-04-05,2.489,2026-04-05T12:07:49+02:00
2026-04-06,2.479,2026-04-06T12:12:05+02:00
2026-04-07,2.479,2026-04-07T12:12:25+02:00
2026-04-08,2.509,2026-04-08T12:12:25+02:00
2026-04-09,2.399,2026-04-09T12:07:09+02:00
2026-04-10,2.329,2026-04-10T12:12:29+02:00
2026-04-11,2.339,2026-04-11T12:13:29+02:00
2026-04-12,2.339,2026-04-12T12:12:29+02:00
2026-04-13,2.339,2026-04-13T12:07:23+02:00
2026-04-14,2.379,2026-04-14T12:13:50+02:00
2026-04-15,2.339,2026-04-15T12:07:37+02:00
2026-04-16,2.299,2026-04-16T12:13:36+02:00
