date,price,last_update
2026-04-01,2.029,2026-04-01T12:00:00+02:00
2026-04-02,2.099,2026-04-02T12:04:53+02:00
2026-04-03,2.099,2026-04-03T12:00:00+02:00
2026-04-04,2.099,2026-04-04T12:00:00+02:00
2026-04-05,2.099,2026-04-05T12:00:00+02:00
2026-04-06,2.099,2026-04-06T12:00:00+02:00
2026-04-08,2.179,2026-04-07T12:05:17+02:00
2026-04-10,2.149,2026-04-10T09:13:09+02:00
2026-04-11,2.149,2026-04-10T09:13:09+02:00
2026-04-13,2.129,2026-04-13T07:47:25+02:00
2026-04-14,2.099,2026-04-13T16:49:01+02:00
2026-04-16,2.099,2026-04-15T15:25:44+02:00
2026-04-20,2.089,2026-04-20T07:52:17+02:00
2026-04-21,2.089,2026-04-20T16:38:29+02:00
2026-04-22,2.089,2026-04-22T08:00:48+02:00
2026-04-23,2.059,2026-04-23T07:50:33+02:00
2026-04-24,2.059,2026-04-23T07:50:33+02:00
2026-04-29,2.079,2026-04-28T12:04:00+02:00
2026-05-01,2.119,2026-04-30T16:48:06+02:00
2026-05-02,2.029,2026-05-02T08:05:21+02:00
2026-05-03,2.029,2026-05-02T08:05:21+02:00
2026-05-05,1.999,2026-05-04T16:46:25+02:00
2026-05-07,1.989,2026-05-07T08:39:59+02:00
2026-05-08,1.969,2026-05-08T08:13:33+02:00
2026-05-09,1.969,2026-05-08T08:13:33+02:00
2026-05-11,1.959,2026-05-11T08:18:25+02:00
2026-05-12,1.949,2026-05-11T16:50:58+02:00
2026-05-13,1.929,2026-05-12T16:04:54+02:00
2026-05-20,1.959,2026-05-19T12:02:52+02:00
2026-05-22,1.959,2026-05-22T08:32:20+02:00
2026-05-23,1.959,2026-05-22T08:32:20+02:00
2026-05-26,1.949,2026-05-26T08:01:26+02:00
2026-05-27,1.929,2026-05-26T16:30:34+02:00
2026-05-28,1.899,2026-05-28T09:29:42+02:00
2026-05-29,1.899,2026-05-29T07:45:04+02:00
2026-05-30,1.899,2026-05-29T07:45:04+02:00
