date,price,last_update
2026-04-01,2.089,2026-04-01T12:00:00+02:00
2026-04-02,2.299,2026-04-02T11:59:37+02:00
2026-04-03,2.299,2026-04-03T12:00:00+02:00
2026-04-04,2.299,2026-04-04T12:00:00+02:00
2026-04-05,2.299,2026-04-05T12:00:00+02:00
2026-04-06,2.299,2026-04-06T12:00:00+02:00
2026-04-07,2.339,2026-04-07T12:00:00+02:00
2026-04-08,2.389,2026-04-08T12:00:00+02:00
2026-04-09,2.229,2026-04-09T11:53:47+02:00
2026-04-10,2.179,2026-04-09T13:14:23+02:00
2026-04-13,2.229,2026-04-13T11:56:08+02:00
2026-04-14,2.159,2026-04-14T11:26:44+02:00
2026-04-15,2.159,2026-04-15T11:51:18+02:00
2026-04-16,2.149,2026-04-16T11:58:19+02:00
2026-04-17,2.109,2026-04-17T11:26:19+02:00
2026-04-18,2.109,2026-04-17T20:22:53+02:00
2026-04-20,2.109,2026-04-20T10:29:14+02:00
2026-04-21,2.099,2026-04-21T08:39:58+02:00
2026-04-22,2.109,2026-04-22T11:56:26+02:00
