date,price,last_update
2026-04-01,1.979,2026-04-01T12:00:00+02:00
2026-04-02,2.079,2026-04-02T12:04:53+02:00
2026-04-03,2.079,2026-04-03T12:00:00+02:00
2026-04-04,2.119,2026-04-04T12:07:57+02:00
2026-04-05,2.099,2026-04-05T12:00:00+02:00
2026-04-06,2.099,2026-04-06T12:00:00+02:00
2026-04-07,2.159,2026-04-07T12:03:16+02:00
2026-04-08,2.159,2026-04-07T12:03:16+02:00
2026-04-10,2.099,2026-04-10T09:13:09+02:00
2026-04-11,2.099,2026-04-10T09:13:09+02:00
2026-04-12,2.099,2026-04-11T16:09:07+02:00
2026-04-13,2.069,2026-04-13T07:47:25+02:00
2026-04-14,2.039,2026-04-13T16:46:59+02:00
2026-04-15,2.039,2026-04-15T07:55:39+02:00
2026-04-16,2.039,2026-04-15T07:55:39+02:00
2026-04-17,2.029,2026-04-17T08:37:16+02:00
2026-04-18,2.029,2026-04-17T08:37:16+02:00
2026-04-20,2.019,2026-04-20T07:52:17+02:00
2026-04-21,2.019,2026-04-21T07:52:53+02:00
2026-04-22,1.999,2026-04-22T08:00:48+02:00
2026-04-23,1.999,2026-04-22T08:00:48+02:00
2026-04-29,2.019,2026-04-28T12:04:00+02:00
2026-05-01,2.059,2026-04-30T16:48:06+02:00
2026-05-02,1.929,2026-05-02T11:52:23+02:00
2026-05-03,1.929,2026-05-02T11:52:23+02:00
2026-05-05,1.939,2026-05-05T12:03:48+02:00
2026-05-06,1.939,2026-05-05T12:03:48+02:00
2026-05-07,1.929,2026-05-07T08:39:59+02:00
2026-05-08,1.899,2026-05-08T08:15:35+02:00
2026-05-09,1.899,2026-05-08T08:15:35+02:00
2026-05-11,1.889,2026-05-11T08:18:25+02:00
2026-05-12,1.879,2026-05-11T16:50:58+02:00
2026-05-13,1.869,2026-05-12T16:04:54+02:00
2026-05-20,1.899,2026-05-20T09:11:24+02:00
2026-05-21,1.899,2026-05-20T09:11:24+02:00
2026-05-22,1.889,2026-05-22T08:31:20+02:00
2026-05-23,1.889,2026-05-22T08:31:20+02:00
2026-05-26,1.879,2026-05-26T08:01:26+02:00
2026-05-27,1.879,2026-05-26T16:30:34+02:00
2026-05-28,1.829,2026-05-28T12:02:57+02:00
2026-05-29,1.819,2026-05-29T07:45:04+02:00
2026-05-30,1.819,2026-05-29T07:45:04+02:00
2026-06-04,1.829,2026-06-03T12:03:51+02:00
2026-06-07,1.849,2026-06-06T12:17:02+02:00
2026-06-08,1.849,2026-06-08T11:57:40+02:00
2026-06-09,1.849,2026-06-09T07:47:56+02:00
2026-06-10,1.839,2026-06-10T07:53:25+02:00
2026-06-11,1.799,2026-06-11T12:04:10+02:00
2026-06-12,1.819,2026-06-12T12:04:24+02:00
2026-06-13,1.819,2026-06-12T12:04:24+02:00
2026-06-14,1.819,2026-06-14T04:11:45+02:00
2026-06-15,1.799,2026-06-15T10:47:21+02:00
2026-06-16,1.789,2026-06-16T07:36:20+02:00
2026-06-17,1.759,2026-06-17T07:50:34+02:00
2026-06-18,1.739,2026-06-18T07:38:58+02:00
2026-06-19,1.739,2026-06-18T07:38:58+02:00
2026-06-22,1.739,2026-06-22T07:28:21+02:00
2026-06-23,1.759,2026-06-23T12:03:50+02:00
2026-06-24,1.749,2026-06-23T16:13:30+02:00
2026-06-26,1.749,2026-06-26T07:46:16+02:00
2026-06-27,1.749,2026-06-26T07:46:16+02:00
2026-06-29,1.749,2026-06-29T07:45:19+02:00
2026-06-30,1.829,2026-06-30T12:04:37+02:00
