date,price,last_update
2026-04-01,2.219,2026-04-01T12:00:00+02:00
2026-04-02,2.289,2026-04-02T12:04:53+02:00
2026-04-03,2.289,2026-04-03T12:00:00+02:00
2026-04-04,2.289,2026-04-04T12:00:00+02:00
2026-04-05,2.289,2026-04-05T12:00:00+02:00
2026-04-06,2.289,2026-04-06T12:00:00+02:00
2026-04-08,2.369,2026-04-07T12:05:17+02:00
2026-04-10,2.339,2026-04-10T09:13:09+02:00
2026-04-11,2.339,2026-04-10T09:13:09+02:00
2026-04-12,2.299,2026-04-11T16:16:13+02:00
2026-04-13,2.319,2026-04-13T12:04:19+02:00
2026-04-14,2.249,2026-04-13T16:49:01+02:00
2026-04-15,2.229,2026-04-15T07:55:39+02:00
2026-04-16,2.229,2026-04-15T07:55:39+02:00
2026-04-17,2.179,2026-04-17T08:38:16+02:00
2026-04-18,2.159,2026-04-18T09:33:28+02:00
2026-04-19,2.159,2026-04-18T09:33:28+02:00
2026-04-20,2.129,2026-04-20T10:16:59+02:00
2026-04-21,2.099,2026-04-21T12:03:23+02:00
2026-04-22,2.059,2026-04-22T08:00:48+02:00
2026-04-23,2.059,2026-04-22T08:00:48+02:00
2026-04-29,2.099,2026-04-28T12:04:00+02:00
2026-05-01,2.149,2026-04-30T16:50:11+02:00
2026-05-02,1.999,2026-05-02T07:29:20+02:00
