date,price,last_update
2026-04-01,2.139,2026-04-01T12:12:43+02:00
2026-04-02,2.229,2026-04-02T12:06:54+02:00
2026-04-03,2.189,2026-04-03T12:06:55+02:00
2026-04-04,2.179,2026-04-04T12:06:56+02:00
2026-04-05,2.219,2026-04-05T12:07:49+02:00
2026-04-06,2.209,2026-04-06T12:00:00+02:00
2026-04-07,2.209,2026-04-07T12:10:22+02:00
2026-04-08,2.209,2026-04-08T12:00:00+02:00
2026-04-09,2.129,2026-04-09T10:26:18+02:00
2026-04-10,2.149,2026-04-10T12:10:27+02:00
2026-04-11,2.149,2026-04-11T12:07:23+02:00
2026-04-12,2.149,2026-04-12T12:07:25+02:00
2026-04-13,2.159,2026-04-13T12:10:26+02:00
2026-04-14,2.139,2026-04-14T12:07:41+02:00
2026-04-15,2.119,2026-04-15T12:07:37+02:00
