date,price,last_update
2026-04-01,2.319,2026-04-01T12:00:00+02:00
2026-04-02,2.289,2026-04-02T12:00:00+02:00
2026-04-03,2.279,2026-04-03T13:06:55+02:00
2026-04-04,2.659,2026-04-04T12:06:56+02:00
2026-04-05,2.499,2026-04-05T13:18:55+02:00
2026-04-06,2.519,2026-04-06T12:04:58+02:00
2026-04-07,2.609,2026-04-07T12:08:20+02:00
2026-04-08,2.609,2026-04-08T12:10:21+02:00
2026-04-09,2.659,2026-04-09T12:10:14+02:00
2026-04-10,2.659,2026-04-10T12:08:25+02:00
2026-04-11,2.559,2026-04-11T12:09:24+02:00
2026-04-12,2.559,2026-04-12T12:08:26+02:00
2026-04-13,2.559,2026-04-13T12:09:25+02:00
2026-04-14,2.499,2026-04-14T12:09:44+02:00
2026-04-15,2.409,2026-04-15T12:09:38+02:00
2026-04-16,2.359,2026-04-16T12:09:30+02:00
2026-04-17,2.409,2026-04-17T12:10:14+02:00
2026-04-18,2.409,2026-04-18T12:09:55+02:00
2026-04-19,2.409,2026-04-19T12:08:56+02:00
2026-04-20,2.409,2026-04-20T12:09:57+02:00
2026-04-21,2.409,2026-04-21T12:08:27+02:00
2026-04-22,2.309,2026-04-22T12:08:36+02:00
2026-04-23,2.309,2026-04-23T12:09:42+02:00
2026-04-24,2.309,2026-04-24T12:09:49+02:00
2026-04-25,2.309,2026-04-25T12:10:25+02:00
2026-04-26,2.309,2026-04-26T12:08:59+02:00
2026-04-27,2.309,2026-04-27T12:09:53+02:00
2026-04-28,2.309,2026-04-28T12:09:07+02:00
2026-04-29,2.309,2026-04-29T12:09:36+02:00
2026-04-30,2.309,2026-04-30T12:08:37+02:00
2026-05-01,2.309,2026-05-01T12:07:29+02:00
2026-05-02,2.209,2026-05-02T12:10:53+02:00
2026-05-03,2.209,2026-05-03T12:09:46+02:00
2026-05-04,2.209,2026-05-04T12:08:59+02:00
2026-05-05,2.209,2026-05-05T12:08:53+02:00
2026-05-06,2.209,2026-05-06T12:08:51+02:00
