date,price,last_update
2026-04-01,2.069,2026-04-01T09:15:51+02:00
2026-04-02,2.129,2026-04-02T11:58:35+02:00
2026-04-03,2.149,2026-04-03T12:00:00+02:00
2026-04-04,2.149,2026-04-04T12:00:00+02:00
2026-04-05,2.269,2026-04-05T12:21:58+02:00
2026-04-06,2.319,2026-04-06T12:18:10+02:00
2026-04-07,2.249,2026-04-07T12:13:26+02:00
2026-04-08,2.189,2026-04-08T16:02:45+02:00
2026-04-09,2.169,2026-04-09T07:45:17+02:00
2026-04-10,2.199,2026-04-10T12:08:25+02:00
2026-04-11,2.159,2026-04-11T12:13:29+02:00
2026-04-12,2.159,2026-04-11T12:13:29+02:00
2026-04-13,2.159,2026-04-12T13:56:14+02:00
2026-04-14,2.129,2026-04-14T11:28:45+02:00
2026-04-15,2.119,2026-04-14T17:56:24+02:00
2026-04-16,2.109,2026-04-16T09:00:40+02:00
2026-04-17,2.099,2026-04-16T18:12:22+02:00
2026-04-19,2.109,2026-04-18T13:42:21+02:00
2026-04-20,2.099,2026-04-20T07:36:57+02:00
2026-04-21,2.089,2026-04-21T08:51:09+02:00
2026-04-22,2.099,2026-04-22T08:06:55+02:00
2026-04-23,2.139,2026-04-23T11:59:35+02:00
