date,price,last_update
2026-04-01,2.299,2026-04-01T12:00:00+02:00
2026-04-02,2.299,2026-04-02T12:00:00+02:00
2026-04-03,2.299,2026-04-03T12:00:00+02:00
2026-04-05,2.399,2026-04-05T12:00:00+02:00
2026-04-06,2.399,2026-04-06T12:00:00+02:00
2026-04-07,2.429,2026-04-07T12:00:00+02:00
2026-04-08,2.449,2026-04-08T12:00:00+02:00
2026-04-09,2.399,2026-04-09T09:26:16+02:00
2026-04-10,2.349,2026-04-10T10:23:32+02:00
2026-04-11,2.349,2026-04-10T10:23:32+02:00
2026-04-13,2.299,2026-04-13T09:10:55+02:00
2026-04-14,2.299,2026-04-13T09:10:55+02:00
