date,price,last_update
2026-04-01,2.119,2026-04-01T12:00:00+02:00
2026-04-02,2.119,2026-04-02T12:00:00+02:00
2026-04-03,2.119,2026-04-03T12:00:00+02:00
2026-04-05,2.199,2026-04-05T12:00:00+02:00
2026-04-06,2.199,2026-04-06T12:00:00+02:00
2026-04-07,2.199,2026-04-07T12:00:00+02:00
2026-04-08,2.199,2026-04-08T12:00:00+02:00
2026-04-09,2.139,2026-04-09T09:26:16+02:00
2026-04-10,2.139,2026-04-10T10:23:32+02:00
2026-04-11,2.139,2026-04-10T10:23:32+02:00
2026-04-13,2.139,2026-04-13T09:10:55+02:00
2026-04-14,2.139,2026-04-13T09:10:55+02:00
2026-04-16,2.139,2026-04-16T07:05:26+02:00
2026-04-17,2.139,2026-04-16T07:05:26+02:00
2026-04-20,2.139,2026-04-20T07:00:23+02:00
2026-04-21,2.119,2026-04-20T12:06:54+02:00
2026-05-01,2.059,2026-05-01T10:03:04+02:00
2026-05-02,2.019,2026-05-02T07:13:52+02:00
2026-05-03,2.019,2026-05-02T07:13:52+02:00
