date,price,last_update
2026-04-01,2.169,2026-04-01T12:00:00+02:00
2026-04-02,2.099,2026-04-02T11:00:41+02:00
2026-04-03,2.189,2026-04-03T12:05:54+02:00
2026-04-04,2.189,2026-04-04T12:05:55+02:00
2026-04-05,2.189,2026-04-05T12:05:46+02:00
2026-04-06,2.189,2026-04-06T12:06:59+02:00
2026-04-07,2.189,2026-04-07T12:05:17+02:00
2026-04-08,2.149,2026-04-08T12:03:10+02:00
2026-04-09,2.119,2026-04-09T12:07:09+02:00
2026-04-10,2.149,2026-04-10T12:05:22+02:00
2026-04-11,2.169,2026-04-11T12:04:20+02:00
2026-04-12,2.169,2026-04-12T12:07:25+02:00
