date,price,last_update
2026-04-01,2.289,2026-04-01T12:12:43+02:00
2026-04-02,2.309,2026-04-02T12:16:09+02:00
2026-04-03,2.339,2026-04-03T12:18:29+02:00
2026-04-04,2.349,2026-04-04T12:14:06+02:00
2026-04-05,2.389,2026-04-05T12:18:56+02:00
2026-04-06,2.399,2026-04-06T12:13:06+02:00
2026-04-07,2.389,2026-04-07T12:17:30+02:00
2026-04-08,2.359,2026-04-08T12:12:25+02:00
2026-04-09,2.259,2026-04-09T12:10:14+02:00
2026-04-10,2.109,2026-04-10T10:48:57+02:00
2026-04-11,2.259,2026-04-11T12:09:24+02:00
2026-04-12,2.259,2026-04-12T12:11:29+02:00
2026-04-13,2.259,2026-04-13T12:14:32+02:00
2026-04-14,2.139,2026-04-14T11:04:14+02:00
2026-04-15,2.099,2026-04-15T11:06:25+02:00
2026-04-16,2.089,2026-04-16T10:01:51+02:00
2026-04-17,2.079,2026-04-17T10:50:36+02:00
2026-04-18,2.229,2026-04-18T12:09:55+02:00
2026-04-19,2.079,2026-04-19T08:26:29+02:00
2026-04-20,2.079,2026-04-19T18:58:31+02:00
2026-04-21,2.219,2026-04-21T12:10:28+02:00
2026-04-22,2.069,2026-04-22T09:49:30+02:00
2026-04-23,2.099,2026-04-22T19:00:06+02:00
2026-04-24,2.109,2026-04-24T10:58:49+02:00
2026-04-25,2.119,2026-04-24T18:58:09+02:00
2026-04-26,2.119,2026-04-25T19:01:06+02:00
2026-04-27,2.119,2026-04-27T08:21:58+02:00
2026-04-28,2.119,2026-04-28T09:47:57+02:00
2026-04-29,2.269,2026-04-29T12:07:35+02:00
2026-04-30,2.139,2026-04-29T17:51:05+02:00
2026-05-01,2.009,2026-05-01T07:47:13+02:00
2026-05-02,2.169,2026-05-02T12:14:18+02:00
