date,price,last_update
2026-04-01,2.539,2026-04-01T12:02:27+02:00
2026-04-02,2.439,2026-04-02T12:00:41+02:00
2026-04-03,2.479,2026-04-03T12:01:49+02:00
2026-04-04,2.469,2026-04-04T12:00:46+02:00
2026-04-05,2.419,2026-04-05T12:00:00+02:00
2026-04-06,2.559,2026-04-06T12:04:58+02:00
2026-04-07,2.559,2026-04-07T12:00:11+02:00
2026-04-08,2.569,2026-04-08T12:01:04+02:00
2026-04-09,2.399,2026-04-09T12:00:56+02:00
2026-04-10,2.369,2026-04-10T12:02:20+02:00
2026-04-11,2.369,2026-04-11T12:01:18+02:00
2026-04-12,2.349,2026-04-12T12:03:22+02:00
2026-04-13,2.339,2026-04-13T12:00:14+02:00
2026-04-14,2.399,2026-04-14T12:02:34+02:00
2026-04-15,2.309,2026-04-15T12:00:28+02:00
2026-04-16,2.119,2026-04-16T10:28:22+02:00
2026-04-17,2.249,2026-04-17T12:00:59+02:00
2026-04-18,2.229,2026-04-18T12:00:48+02:00
