date,price,last_update
2026-04-03,2.329,2026-04-03T12:00:00+02:00
2026-04-04,2.329,2026-04-04T12:00:00+02:00
2026-04-05,2.329,2026-04-05T12:00:00+02:00
2026-04-06,2.329,2026-04-06T12:00:00+02:00
2026-04-07,2.389,2026-04-07T12:00:00+02:00
2026-04-08,2.389,2026-04-07T11:58:10+02:00
2026-04-10,2.349,2026-04-10T11:36:52+02:00
2026-04-11,2.349,2026-04-10T11:36:52+02:00
2026-04-13,2.219,2026-04-13T06:37:17+02:00
2026-04-14,2.219,2026-04-13T06:37:17+02:00
2026-04-17,2.089,2026-04-17T06:25:49+02:00
2026-04-18,2.089,2026-04-17T06:25:49+02:00
