date,price,last_update
2026-04-01,2.159,2026-04-01T12:00:00+02:00
2026-04-02,2.159,2026-04-02T12:00:00+02:00
2026-04-03,2.359,2026-04-03T12:03:51+02:00
2026-04-04,2.409,2026-04-04T12:07:57+02:00
2026-04-05,2.419,2026-04-05T12:04:45+02:00
2026-04-06,2.449,2026-04-06T12:10:03+02:00
2026-04-07,2.449,2026-04-07T12:11:23+02:00
2026-04-08,2.439,2026-04-08T12:05:15+02:00
2026-04-09,2.169,2026-04-09T11:03:55+02:00
2026-04-10,2.369,2026-04-10T12:05:22+02:00
2026-04-11,2.359,2026-04-11T12:04:20+02:00
2026-04-12,2.159,2026-04-11T19:45:40+02:00
2026-04-13,2.329,2026-04-13T12:05:20+02:00
2026-04-14,2.369,2026-04-14T12:04:37+02:00
2026-04-15,2.319,2026-04-15T12:08:37+02:00
2026-04-16,2.329,2026-04-16T12:07:29+02:00
2026-04-17,2.319,2026-04-17T12:05:07+02:00
2026-04-18,2.329,2026-04-18T12:07:53+02:00
2026-04-19,2.329,2026-04-19T12:07:56+02:00
2026-04-20,2.129,2026-04-19T12:41:25+02:00
2026-04-21,2.289,2026-04-21T12:07:26+02:00
2026-04-22,2.269,2026-04-22T12:08:36+02:00
2026-04-23,2.299,2026-04-23T12:05:40+02:00
2026-04-24,2.129,2026-04-24T10:53:43+02:00
2026-04-25,2.329,2026-04-25T12:05:20+02:00
2026-04-26,2.329,2026-04-26T12:06:58+02:00
2026-04-27,2.329,2026-04-27T12:08:51+02:00
2026-04-28,2.319,2026-04-28T12:12:11+02:00
2026-04-29,2.329,2026-04-29T12:03:30+02:00
2026-04-30,2.309,2026-04-30T12:04:34+02:00
2026-05-01,2.219,2026-05-01T12:02:18+02:00
2026-05-02,2.219,2026-05-02T12:09:53+02:00
2026-05-03,2.279,2026-05-03T12:08:44+02:00
2026-05-04,2.279,2026-05-04T12:06:57+02:00
2026-05-05,2.049,2026-05-05T10:43:57+02:00
2026-05-06,2.039,2026-05-06T10:46:24+02:00
2026-05-07,2.019,2026-05-07T11:39:34+02:00
2026-05-08,1.959,2026-05-08T10:55:14+02:00
2026-05-09,2.159,2026-05-09T12:03:57+02:00
2026-05-10,1.969,2026-05-09T17:56:53+02:00
2026-05-11,1.949,2026-05-11T11:01:45+02:00
2026-05-12,2.149,2026-05-12T12:05:25+02:00
2026-05-13,2.199,2026-05-13T12:04:34+02:00
2026-05-14,2.229,2026-05-14T12:07:09+02:00
2026-05-15,2.019,2026-05-15T11:00:41+02:00
2026-05-16,1.999,2026-05-16T07:01:13+02:00
2026-05-17,2.199,2026-05-17T12:05:15+02:00
2026-05-18,2.219,2026-05-18T12:07:25+02:00
2026-05-19,2.249,2026-05-19T12:05:53+02:00
2026-05-20,2.019,2026-05-20T11:23:35+02:00
2026-05-21,2.009,2026-05-21T11:03:30+02:00
2026-05-22,2.209,2026-05-22T12:07:20+02:00
2026-05-23,2.249,2026-05-23T12:02:40+02:00
2026-05-24,2.049,2026-05-24T11:00:18+02:00
2026-05-25,2.229,2026-05-25T12:05:34+02:00
2026-05-26,2.059,2026-05-26T10:58:18+02:00
2026-05-27,2.219,2026-05-27T12:05:44+02:00
2026-05-28,1.959,2026-05-28T10:42:43+02:00
2026-05-29,1.949,2026-05-29T11:39:40+02:00
2026-05-30,2.149,2026-05-30T12:04:23+02:00
2026-05-31,2.199,2026-05-31T12:07:16+02:00
2026-06-01,1.999,2026-06-01T11:34:15+02:00
2026-06-02,2.169,2026-06-02T12:03:45+02:00
2026-06-03,1.989,2026-06-03T11:01:47+02:00
2026-06-04,2.159,2026-06-04T12:05:21+02:00
2026-06-05,1.959,2026-06-05T11:00:26+02:00
2026-06-06,2.139,2026-06-06T12:07:54+02:00
2026-06-07,1.959,2026-06-07T10:59:56+02:00
2026-06-08,1.919,2026-06-08T11:57:40+02:00
2026-06-09,2.109,2026-06-09T12:07:07+02:00
2026-06-10,2.099,2026-06-10T12:03:18+02:00
2026-06-11,2.089,2026-06-11T12:05:11+02:00
2026-06-12,2.089,2026-06-12T12:04:24+02:00
2026-06-13,1.899,2026-06-13T11:33:17+02:00
2026-06-14,1.889,2026-06-14T10:57:23+02:00
2026-06-15,2.089,2026-06-15T12:07:54+02:00
