date,price,last_update
2026-04-01,2.219,2026-04-01T07:31:19+02:00
2026-04-02,2.199,2026-04-02T12:11:59+02:00
2026-04-03,2.199,2026-04-03T12:11:02+02:00
2026-04-04,2.199,2026-04-04T12:00:00+02:00
2026-04-05,2.199,2026-04-05T12:05:46+02:00
2026-04-06,2.199,2026-04-06T12:00:00+02:00
2026-04-07,2.229,2026-04-07T12:11:23+02:00
2026-04-08,2.229,2026-04-07T12:11:23+02:00
2026-04-09,2.169,2026-04-09T08:01:35+02:00
2026-04-10,2.169,2026-04-09T13:11:21+02:00
2026-04-11,2.169,2026-04-11T12:10:25+02:00
2026-04-12,2.169,2026-04-12T12:07:25+02:00
2026-04-13,2.159,2026-04-13T12:10:26+02:00
2026-04-14,2.159,2026-04-13T12:10:26+02:00
