date,price,last_update
2026-04-01,2.389,2026-04-01T12:03:32+02:00
2026-04-02,2.329,2026-04-02T12:02:48+02:00
2026-04-03,2.339,2026-04-03T12:02:50+02:00
2026-04-04,2.439,2026-04-04T12:02:49+02:00
2026-04-05,2.469,2026-04-05T12:01:43+02:00
2026-04-06,2.479,2026-04-06T12:01:56+02:00
2026-04-07,2.489,2026-04-07T12:02:15+02:00
2026-04-08,2.459,2026-04-08T12:03:10+02:00
2026-04-09,2.349,2026-04-09T10:45:38+02:00
2026-04-10,2.289,2026-04-10T09:22:17+02:00
2026-04-11,2.289,2026-04-11T12:02:18+02:00
2026-04-12,2.289,2026-04-12T12:02:20+02:00
2026-04-13,2.299,2026-04-13T12:02:16+02:00
