date,price,last_update
2026-04-01,2.109,2026-04-01T12:00:00+02:00
2026-04-02,2.139,2026-04-02T12:06:54+02:00
2026-04-03,2.139,2026-04-03T12:00:00+02:00
2026-04-04,2.169,2026-04-04T12:06:56+02:00
2026-04-05,2.189,2026-04-05T12:07:49+02:00
2026-04-06,2.229,2026-04-06T12:06:59+02:00
2026-04-07,2.249,2026-04-07T12:07:20+02:00
2026-04-08,2.209,2026-04-08T12:00:00+02:00
2026-04-09,2.139,2026-04-09T12:07:09+02:00
2026-04-10,2.129,2026-04-09T18:31:59+02:00
2026-04-13,2.099,2026-04-13T09:11:56+02:00
2026-04-14,2.099,2026-04-13T09:11:56+02:00
2026-04-15,2.099,2026-04-15T10:50:07+02:00
2026-04-16,2.069,2026-04-16T11:37:51+02:00
2026-04-17,2.069,2026-04-16T11:37:51+02:00
2026-04-18,2.069,2026-04-17T22:03:31+02:00
2026-04-21,2.089,2026-04-20T12:08:56+02:00
2026-04-22,2.089,2026-04-22T10:12:49+02:00
2026-04-23,2.089,2026-04-22T10:12:49+02:00
2026-04-25,2.089,2026-04-25T12:07:22+02:00
2026-04-26,2.099,2026-04-26T12:06:58+02:00
2026-04-27,2.099,2026-04-26T12:06:58+02:00
2026-04-29,2.099,2026-04-28T12:07:04+02:00
2026-04-30,2.099,2026-04-29T12:07:35+02:00
2026-05-01,2.029,2026-05-01T11:02:20+02:00
2026-05-02,2.029,2026-05-02T12:07:36+02:00
2026-05-03,2.029,2026-05-03T12:08:44+02:00
2026-05-04,2.029,2026-05-03T12:08:44+02:00
2026-05-07,2.029,2026-05-06T21:26:19+02:00
2026-05-08,1.959,2026-05-08T10:18:38+02:00
2026-05-09,1.979,2026-05-09T12:07:59+02:00
2026-05-10,1.999,2026-05-10T12:07:04+02:00
2026-05-11,1.999,2026-05-10T12:07:04+02:00
2026-05-12,1.979,2026-05-12T09:02:51+02:00
2026-05-13,1.959,2026-05-12T18:18:58+02:00
2026-05-22,1.949,2026-05-22T10:36:00+02:00
2026-05-23,1.949,2026-05-22T10:36:00+02:00
2026-05-28,1.929,2026-05-28T08:50:03+02:00
2026-05-29,1.929,2026-05-28T08:50:03+02:00
2026-06-01,1.949,2026-05-31T12:07:16+02:00
2026-06-02,1.929,2026-06-01T22:02:40+02:00
2026-06-06,1.899,2026-06-06T10:55:45+02:00
2026-06-07,1.899,2026-06-06T10:55:45+02:00
2026-06-08,1.899,2026-06-08T11:57:40+02:00
2026-06-09,1.899,2026-06-09T04:11:34+02:00
2026-06-10,1.899,2026-06-09T04:11:34+02:00
2026-06-11,1.869,2026-06-11T06:59:17+02:00
2026-06-12,1.869,2026-06-11T06:59:17+02:00
2026-06-14,1.869,2026-06-14T10:43:11+02:00
2026-06-15,1.869,2026-06-15T07:50:06+02:00
2026-06-16,1.869,2026-06-15T06:01:23+02:00
2026-06-17,1.849,2026-06-17T10:32:26+02:00
2026-06-18,1.829,2026-06-18T09:55:26+02:00
2026-06-19,1.829,2026-06-18T09:55:26+02:00
2026-06-24,1.819,2026-06-23T18:02:24+02:00
2026-06-29,1.829,2026-06-29T07:45:19+02:00
2026-06-30,1.909,2026-06-30T12:07:43+02:00
2026-07-01,1.989,2026-07-01T12:07:13+02:00
2026-07-02,1.989,2026-07-01T12:07:13+02:00
