date,price,last_update
2026-07-07,2.229,2026-07-07T11:59:43+02:00
2026-07-08,2.229,2026-07-07T11:59:43+02:00
2026-07-10,2.249,2026-07-09T12:00:31+02:00
2026-07-11,2.249,2026-07-10T12:01:25+02:00
2026-07-12,2.229,2026-07-11T12:01:16+02:00
2026-07-13,2.249,2026-07-13T12:00:45+02:00
2026-07-14,2.289,2026-07-14T12:00:14+02:00
2026-07-15,2.289,2026-07-14T12:00:14+02:00
2026-07-16,2.269,2026-07-15T12:00:34+02:00
2026-07-17,2.269,2026-07-17T12:00:47+02:00
2026-07-18,2.269,2026-07-17T12:00:47+02:00
2026-07-19,2.269,2026-07-18T12:00:49+02:00
2026-07-20,2.259,2026-07-20T12:00:34+02:00
2026-07-21,2.259,2026-07-20T12:00:34+02:00
2026-07-22,2.249,2026-07-21T12:00:53+02:00
2026-07-24,2.249,2026-07-23T12:01:25+02:00
2026-07-25,2.239,2026-07-24T12:00:07+02:00
2026-07-26,2.239,2026-07-26T07:33:20+02:00
