date,price,last_update
2026-04-01,2.298,2026-04-01T12:02:27+02:00
2026-04-02,2.318,2026-04-02T12:02:48+02:00
2026-04-03,2.318,2026-04-03T12:00:00+02:00
2026-04-04,2.398,2026-04-04T12:02:49+02:00
2026-04-05,2.338,2026-04-05T12:01:43+02:00
2026-04-06,2.338,2026-04-06T12:00:00+02:00
2026-04-07,2.378,2026-04-07T12:01:14+02:00
2026-04-08,2.398,2026-04-08T12:03:10+02:00
2026-04-09,2.348,2026-04-08T17:40:32+02:00
2026-04-10,2.308,2026-04-09T17:19:43+02:00
2026-04-11,2.258,2026-04-11T11:09:30+02:00
2026-04-12,2.258,2026-04-11T11:09:30+02:00
2026-04-14,2.288,2026-04-13T13:04:51+02:00
2026-04-15,2.238,2026-04-15T12:09:38+02:00
2026-04-16,2.218,2026-04-16T12:04:25+02:00
2026-04-17,2.188,2026-04-17T12:02:00+02:00
2026-04-18,2.138,2026-04-18T12:02:50+02:00
