date,price,last_update
2026-04-01,2.379,2026-04-01T12:05:33+02:00
2026-04-02,2.379,2026-04-02T12:05:53+02:00
2026-04-03,2.549,2026-04-03T12:02:50+02:00
2026-04-04,2.479,2026-04-04T12:05:55+02:00
2026-04-05,2.469,2026-04-05T12:01:43+02:00
2026-04-06,2.469,2026-04-06T12:00:00+02:00
2026-04-07,2.469,2026-04-07T12:00:00+02:00
2026-04-09,2.379,2026-04-09T09:32:21+02:00
2026-04-10,2.379,2026-04-09T09:32:21+02:00
2026-04-15,2.349,2026-04-14T13:18:15+02:00
2026-04-16,2.329,2026-04-15T12:49:33+02:00
2026-04-17,2.289,2026-04-17T12:02:00+02:00
